progress	description	description_ES	actions
0	Green King.	po	
10	I met an unknown knight fighting a crowd of goblins, I refused to help him.	po.	
15	I met an unknown knight fighting a crowd of goblins, so I decided to help him.	po.	
20	I helped an unknown knight defeat the goblins, now I need to talk to him.	po.	
25	I met a arcane knight in exile named Duncan, he wanted to offer me some kind of job, but I refused.	po.	
30	I met a arcane knight in exile named Duncan, he sent me to kill the goblin king, I can find him in the caves at the foot of the Wyvern Mountains in the Northwest Sagar Forest.	po.	
35	I killed the goblin king, I need to get some proof of his death.	po.	
40	I took the goblin king's head, now I need to return to the arcane knight Duncan.	po.	
50	Duncan and I were attacked by a gang of goblins led by a shaman, I have to defeat them.	po.	
60	I've dealt with the goblin shaman, and now I need to talk to the magic knight Duncan.	po.	
100	I helped the arcane knight Duncan deal with the goblin danger.	po.	
