progress	description	description_ES	actions
0	Call of the Blood	La Llamada de la Sangre	
10	Grissenda has been invited to Castle Storme by the Baroness, which happens to be her sister.	Grissenda ha sido invitada al Castillo Storme por la Baronesa, que resulta ser su hermana.	
20	Baron Storme has welcomed us warmly and offered us a guest room. He said Baroness Eirenda will meet us soon.	El Barón Storme nos ha acogido con hospitalidad y nos ha ofrecido una habitación como huéspedes. Dice que la Baronesa Eirenda regresará pronto.	
30	Baron Storme has welcomed us warmly and offered us a guest room. He said Baroness Eirenda will meet us soon. But Radia, the Baroness' maid has told us to be on guard and not trust anyone inside the castle. She seems to need our help, we should probably talk to her later.	"El Barón Storme nos ha acogido con hospitalidad y nos ha ofrecido una habitación como huéspedes. Dice que la Baronesa Eirenda regresará pronto. Pero Radia, la doncella de la Baronesa nos ha dicho que no confiemos en nadie del castillo. Parece necesitar nuestra ayuda; deberíamos hablar con ella más tarde."	
40	I decided to stop fooling around and challenge House Storme. We must now find a way to find Eirenda and escape the castle.	He decidido dejarme de tonterías y desafiar el poder de Casa Storme. Ahora tenemos que localizar a Eirenda y escapar del castillo.	
50	It was a trap! We were attacked in our bedroom by undead abominations. We must now find a way to find Eirenda and escape the castle.	Era una trampa, hemos sido atacados por abominaciones del ultratumba. Tenemos que localizar a Eirenda y escapar del castillo.	
60	"We must find a way to find Eirenda and escape the castle. Radia, Eirenda's maid, is dead. She mentioned a ""place of eternal rest"" with her last breath."	"Tenemos que localizar a Eirenda y escapar del castillo. Radia, la doncella de Eirenda, está muerta. Con su último aliento mencionó un ""lugar de descanso eterno""."	
70	We discovered a secret area in the castle. Unlike the fortress, this seems to be built by Tolassians, and be very ancient. It is strange to find a Tolassian ruin that isn't underground.	Hemos encontrado un area secreta en el castillo. Al contrario que el resto de la fortaleza, parece haber sido construida por los Tolassians. Es extraño encontrar una construcción Tolassian que no está bajo tierra...	
80	Castle Storme was built over the remains of the Tolassian Temple of Blood. The corrupt barons have been allied with this evil power for generations, and they are now about to sacrifice Eirenda to release their evil upon the whole region. We must stop them!	El Castillo Storme se construyó sobre las ruinas del Templo de la Sangre. Los Barones Corruptos llevan aliados con este poder maligno durante generaciones, y ahora planean sacrificar a Eirenda para liberar su mal por toda la región. ¡Debemos detenerles!	
85	I have confronted Baron Storme and the Vampire Lord and must now defeat them to save Eirenda.	Me he enfrentado al Barón Storme y el Señor de los Vampiros y debo derrotarles para salvar a Eirenda.	
90	The Baron is dead, I must now save Eirenda from the nearby cage.	El Barón ha muerto, debo salvar a Eirenda de la celda cercana.	
95	Eirenda is now free, I should talk to her at the gates outside Castle Storme.	Eirenda está libre, debería hablar con ella en las puertas, fuera del Castillo Storme.	
100	I saved Eirenda and stoped the threat of Storme.	Salvé a Eirenda y detuve la amenaza de Storme.	
