progress	description	description_ES	actions
0	Family Matters	po	
10	By chance I met a local lady who asked me to help with some problem. In order to meet her again, I need to find her maid in the city.	po.	
20	I found lady Ironstone's maid, whom I promised to help.	po.	
30	Lady Ironstone asked me to deal with the crook wizard, I said I would think about her offer.	po.	
40	Lady Ironstone asked me to deal with the crook wizard, I agreed to help her, now it remains to wait until he returns to the city.	po.	
50	The crook wizard was recently seen at the "Cheerful Passerby" tavern, perhaps I can meet him there or find out about him from the regulars.	po.	
60	At the tavern, I learned that a crook wizard can be found at one of the docks in the city.	po.	
70	Unknown people ambushed me, it looks like a crook wizard I'm looking for is involved in this.	po.	
80	У главаря напавших на меня я узнал, что нанявший их назначил встречу за городом, возможно это чародей-жулик, которого я ищу.	po.	
85	I found out from the leader of the attackers that the one who hired them had set up a meeting outside the city, perhaps this is the crook wizard I'm looking for.	po.	
90	The crook wizard turned out to be the magician Albeno, with whom I had previously crossed paths, I agreed with him that he would leave the Ironstone family alone if I gave him 30 thousand gold.	po.	
95	I have resolved the issue with the wizard, now it is necessary to inform lady Ironstone about it.	po.	
100	Lady Ironstone asked me to deal with the crook wizard, I refused to help her.	po.	
110	I helped lady Ironstone solve the problem with the crook wizard.	po.	
