progress	description	description_ES	actions
0	Changing the Hierarchy	po	
10	Boss Rickman's lair has been attacked!	po.	
20	The deputy boss of the bandits, nicknamed Bubba, decided to remove him from office, Rickman asked me to find this Bubba. I can find out about his location in Northern Inori near New Garand.	po.	
25	In exchange for information about Bubba's location, ThreeBag asked for the return of a magical artifact stolen by bandits, their lair is located near Friguld.	po.	
30	I've found the stolen artifact, and I need to hand it over to a ThreeBag in Northern Inori.	po.	
35	It is necessary to transfer the information received to Boss Rickman.	po.	
40	I have to meet Rickman at the Friguld.	po.	
45	It is necessary to find Vince and Philosopher on the island.	po.	
50	I have to meet Rickman in his lair.	po.	
55	We need to talk to Rickman about being ready to participate in the showdown.	po.	
60	It is necessary to join Rickman and his men for the beginning of the showdown.	po.	
65	I have to deal with Bubba and his people.	po.	
100	I helped Rickman keep his position as gang boss.	po.	
130	The quest failed.	po.	
