progress	description	description_ES	actions
0	In Trouble Again	po	
10	I wanted to meet with Princess Evelina Lightwind to return her staff, but she has left the royal castle and is somewhere in Istril or the suburbs. I may be able to find out her whereabouts from someone.	po.	
15	One of the sergeants in the city told me that Evelina is somewhere in the suburbs of Istril, and I might be able to find out where she is.	po.	
20	The captain in the suburbs of Istril reported that Evelina had gone to the Dragon's Nest, so we'll have to look for her there.	po.	
25	The obsessed have captured Evelina, and I must deal with them in order to free her..	po.	
30	I've dealt with the obsessed, now I need to free Evelina.	po.	
40	I need to deal with the mad wizard, and I can find him in the northwest of the Dragon's Nest.	po.	
50	After encountering a mad wizard, I found myself in an unknown place, and I must find a way to escape.	po.	
52	After encountering a mad wizard, I found myself in an unknown place, and I must find a way to escape.	po.	
55	I've found a non-functional teleport that will allow us to leave this place, but we need to activate four obelisks to make it work.	po.	
56	I activate one of the four teleportation obelisks.	po.	
57	I activate two of the four teleportation obelisks.	po.	
58	I have activated three of the four teleportation obelisks.	po.	
59	I activate all four teleportation obelisks.	po.	
60	I need to deal with the creature that appeared so I can use the teleport.	po.	
65	The teleport is activated, and I can use it to leave this place.	po.	
70	I have to deal with the mad wizard.	po.	
80	I've dealt with the mad wizard, now I need to talk to magister Kaledor.	po.	
100	I helped Princess Evelina Lightwind and magister Kaledor complete their mission.	po.	
