progress	description	description_ES	actions
0	Hate through space and time	po	
10	Adaon was killed! Wizard Jenod is one of the suspects, I have to find him in Icemist.	po.	
12	Adaon was killed! Wizard Jenod is one of the suspects, I have to find him in Solliga.	po.	
15	Adaon was killed! Wizard Jenod is one of the suspects, I have to find him in Whitetower.	po.	
20	I've found Jenod, and I need to talk to him.	po.	
25	Whitetower was attacked by unknown magicians! I have to help deal with them.	po.	
30	I have to meet Kiara at Liberty.	po.	
35	We were attacked by unknown magicians again! I have to deal with them.	po.	
37	I need to talk to Kiara.	po.	
40	I need to go to Lamis, where I may find information about Adaon's killers.	po.	
42	Adaon is alive! But we were once again attacked by unknown magicians! I have to deal with them.	po.	
45	I've dealt with the attackers, and now I need to discuss what's happening with Adaon.	po.	
47	I need to talk to Adaon.	po.	
50	I need to get back to Kiara in Liberty.	po.	
52	I was ambushed by unknown magicians! I have to deal with them.	po.	
55	I have to pick up the body of Adaon's doppelganger from the cemetery on New Garand Farmlands.	po.	
56	I have to pick up the body of Adaon's doppelganger from the cemetery on New Garand Farmlands.	po.	
57	I need to meet the necromancer Gwen in Deadwood.	po.	
58	I need to meet the necromancer Gwen in Deadwood.	po.	
60	I have to deal with unknown magicians to get to Gwen's place.	po.	
62	I need to talk to the necromancer Gwen.	po.	
65	I have to get to Balthasar's tower in Southern Blumist River.	po.	
67	I have to deal with the Magister.	po.	
70	I need to talk to Adaon scientist.	po.	
72	The plan of Adaon scientist didn't work out, a bunch of variants of Adaon got into my world!	po.	
75	The Magister attacked us again!	po.	
77	I have to deal with the Magister.	po.	
100	I helped Adaon defeat the Magister.	po.	
