progress	description	description_ES	actions
0	Will or Death	po	
10	Not far from the Zamor pass, I met a group of runaway slaves, perhaps it is worth helping them or reporting them to the Mercians.	po.	
20	Not far from the Zamor pass, I met a group of runaway slaves in need of help, but refused to help them.	po.	
30	I agreed to help the runaway slaves get to Kingsbridge.	po.	
40	I agreed to help the runaway slaves get to Rhöneis.	po.	
50	I informed legionnaire Alia about the escaped slaves, now I have to report this to praetor Anwar in Freeport.	po.	
100	I couldn't save the runaway slaves, they died.	po.	
110	I informed praetor Anwar about the runaway slaves.	po.	
120	I helped runaway slaves escape from Mercia.	po.	
130	I informed praetor Anwar about the escaped slaves, and he sent a squad that killed the fugitives.	po.	
140	I helped the runaway slaves to get to their home.	po.	
