progress	description	description_ES	actions
0	Something More	po	
10	The unknown is blackmailing Sansa, we have to meet with his broker in New Anthur.	po.	
15	The broker said that the blackmailer is in Solliga, it is necessary to go there and find him.	po.	
20	The blackmailer was killed by someone, and suspicion of his murder fell on us! Sansa offered to meet with a master she knows who can help us in New Garand.	po.	
25	The Magister reported the conspiracy to the Guild, and Sansa became one of the targets of the conspirators, it is necessary to interrogate one of the suspects named Grateroll in Icemist.	po.	
30	Grateroll escaped with the help of a portal, I have to go after him in pursuit.	po.	
35	I teleported to an unknown dungeon, now I have to get to Grateroll.	po.	
40	I have to deliver Grateroll to the Magister in New Garand.	po.	
50	An unknown person is blackmailing Sansa, I suggested that we seek help from Percival, who must be found in New Garand.	po.	
55	Percy has agreed to help us, we have to meet with the blackmailer's broker in New Anthur.	po.	
60	The broker said that the blackmailer is in Solliga, it is necessary to go there and find him.	po.	
65	Percy found out that the blackmailer was killed, and we were supposed to be blamed for his murder, he also noticed an observer, it is necessary to catch him before he leaves the city.	po.	
70	The observer reported that he works for a wizard named Grateroll, who lives in Icemist, and it is necessary to go there and interrogate him.	po.	
75	Grateroll escaped with the help of a portal, I have to go after him in pursuit.	po.	
80	I teleported to an unknown dungeon, now I have to get to Grateroll.	po.	
85	I have to deliver Grateroll to the Magister in New Garand.	po.	
100	I helped Sansa deal with the blackmailer and expose the conspiracy in the Wizards Guild.	po.	
