progress	description	description_ES	actions
0	Dragon Service.	po	
10	I was attacked by a dragon!	po.	
15	I've met the dragon Shenron, and he wants me to help him get the crown of the dragon lord. I'm supposed to meet with his assistants at the tower on the Thir Pass.	po.	
20	I've met Dragon Shenron's assistants, and now I have to get into the tower through the caves with them.	po.	
25	I've met Dragon Shenron's assistants, and now I have to get into the tower through the caves with them.	po.	
27	I was able to get into the tower, now I need to find the crown of the dragon lord and exit the tower.	po.	
30	I found the password to the tower door, now I need to find the crown of the dragon lord.	po.	
35	I was able to open the door of the tower and I can leave it, but first I need to find the crown of the dragon lord.	po.	
40	I have found the crown of the dragon lord, now I need to give it to Dragon Shenron.	po.	
45	I have to meet Dragon Shenron in the Great Plains to give him the crown of the dragon lord.	po.	
50	I have to find an ancient goblin in the caves in the Wyvern Mountains to verify the authenticity of the crown of the dragon lord.	po.	
55	I got to the right cave, now I need to find an ancient goblin somewhere in it to make sure that the crown of the dragon lord is real.	po.	
60	I have to meet Dragon Shenron in the Great Plains, and convince him that the crown of the dragon lord has been destroyed.	po.	
100	The Dragon Shenron left me without a reward for my help.	po.	
110	Dragon Shenron was offended that I didn't bring him what I promised.	po.	
120	The dragon Shenron was offended, thinking that I was deceiving him.	po.	
125	Dragon Shenron was offended that I didn't bring him what I promised.	po.	
130	The Dragon Shenron left me without a reward for my help.	po.	
