progress	description	description_ES	actions
0	Between Worlds	po	
10	The Varannari girl, Silvia, has informed me of the return of the witch queen, and I must discuss this with Hirge, who has left for Navarian.	po.	
15	I found out that Hirge went to the Sanctuary of Irossia.	po.	
20	I need to know more about the Lady of the Night, maybe someone in Icemist can help me.	po.	
22	I need to know more about the Lady of the Night, maybe Sansa can help me.	po.	
25	I've made an appointment with magister who can tell me about the Lady of the Night, and I'm supposed to meet him at this statue in Icemist.	po.	
30	Magister Kendrick and I were attacked by zombies!	po.	
35	I was able to defeat the zombies, I need to discuss what happened with magister Kendrick.	po.	
40	Magister Kendrick has promised to find a way to defeat the witch queen, and I must return to the Sanctuary of Irossia and tell Hirge everything I have learned.	po.	
45	Witches and evil spirits attacked the Sanctuary of Irossia!	po.	
46	I have to talk to Hirge and Orion.	po.	
50	Hirge and I must go to Mount Orogg to recapture the Forbidden Pit captured by varannari.	po.	
55	I must help Hirge and her companions defeat varannari army.	po.	
60	I helped defeat varannari army, but it is necessary to completely clear the Forbidden Pit of their presence.	po.	
65	I have to defeat Sylvia and her assistants.	po.	
70	My companions and I were in an unknown place, maybe Sylvia will help us get out.	po.	
75	I have to get to the dungeon guard and defeat him to open the way to the exit.	po.	
80	I've defeated the dungeon guard, now I need to activate the portal stone.	po.	
85	I have to escort Sylvia to Navarian.	po.	
100	I've helped Hirge retake the Forbidden Mines, but the witch queen hasn't been defeated yet.	po.	
