progress	description	description_ES	actions
0	Scripture Mission	po	
10	A team is gathering in the temple of Rigordion to exterminate the demon bear, I decided not to join them.	po.	
20	A team is gathering in the temple of Rigordion to exterminate the demon bear, I decided to join them, but to prove that I am worthy of it, I have to get trophies from 10 white wolves and 6 polar bears.	po.	
30	I got the necessary number of trophies, but I need to complete one more task - to find and kill the creature terrorizing the villagers in the Gelid Coast.	po.	
40	I killed a creature that terrorized the villagers, I need to inform Ryurger about it.	po.	
50	Ryurger asked me to find out where the demon bear's lair might be located at the rangers in the camp located in the Dream Valley.	po.	
60	I learned that the demon-bear's lair may be located near the eastern mountains in the Dream Valley, it is necessary to transfer this information to Ryurger.	po.	
70	The team gathered to kill the demon bear will be waiting for me at the Dream Valley camp, I need to prepare before joining them.	po.	
80	Me and the team need to find and kill the demon bear.	po.	
85	The team and I managed to find the demon bear's lair, and now we need to kill him.	po.	
90	The demon bear is dead, the high priest of the temple of Rigordion is ready to reward me for my help.	po.	
100	I helped Ryurger to destroy the demon bear, saving the inhabitants of the city from mortal danger.	po.	
