progress	description	description_ES	actions
0	Воля или Смерть	po	
10	Неподалёку от перевала Замор я встретил группу беглых рабов, возможно, стоит им помочь или сообщить о них мерсийцам.	po.	
20	Неподалёку от перевала Замор я встретил группу нуждающихся в помощи беглых рабов, но отказался им помогать.	po.	
30	Я согласился помочь беглым рабам добраться до Кингсбридж.	po.	
40	Я согласился помочь беглым рабам добраться до Рёнайс.	po.	
50	Я сообщил легионеру Алии о беглых рабах, теперь я должен доложить об этом претору Анвару в Фрипорте.	po.	
100	Я не смог спасти беглых рабов, они погибли.	po.	
110	Я сообщил претору Анвару о беглых рабах.	po.	
120	Я помог беглым рабам сбежать из Мерсии.	po.	
130	Я сообщил претору Анвару о беглых рабах, и он послал отряд, который убил беглецов.	po.	
140	Я помог беглым рабам добраться до их дома.	po.	
