progress	description	description_ES	actions
0	Снова в Беде	po	
10	Я хотел встретиться с принцессой Эвелиной Лайтвинд, чтобы вернуть ей посох, но она покинула королевский замок и находится где-то в Истриле или пригороде, возможно, мне удасться у кого-нибудь узнать об её местонахождении.	po.	
15	Один из сержантов в городе сообщил, что Эвелина находится где-то в пригороде Истриля, возможно, там мне удасться у кого-нибудь узнать об её местонахождении.	po.	
20	Капитан в пригороде Истриля сообщил, что Эвелина отправилась к Драконьему гнезду, придётся там её искать.	po.	
25	Одержимые схватили Эвелину, я должен разобраться с ними, чтобы освободить девушку.	po.	
30	Я разобрался с одержимыми, теперь необходимо освободить Эвелину.	po.	
40	Мне необходимо разобраться с безумном волшебником, я смогу его найти на северо-западе Драконьего гнезда.	po.	
50	После столкновения с безумным волшебником, я оказался в непонятном месте, я должен найти способ, как выбраться отсюда.	po.	
52	После столкновения с безумным волшебником, я оказался в непонятном месте, я должен найти способ, как выбраться отсюда.	po.	
55	Я нашёл неработающий телепорт, с помощью которого нам удасться покинуть это место, необходимо активировать четыре обелиска, чтобы он заработал.	po.	
56	Я активировать один из четырёх обелисков телепорта.	po.	
57	Я активировать два из четырёх обелисков телепорта.	po.	
58	Я активировать три из четырёх обелисков телепорта.	po.	
59	Я активировать все четыре обелисков телепорта.	po.	
60	Я должен разобраться с появившемся существом, чтобы смог воспользоваться телепортом.	po.	
65	Телепорт активирован, и я могу с его помощью покинуть это место.	po.	
70	Я должен разобраться с безумным волшебником.	po.	
80	Я разобрался с безумным волшебником, теперь необходимо поговорить с Магистром Каледором.	po.	
100	Я помог принцессе Эвелине Лайтвинд и магистру Каледору выполнить порученное им дело.	po.	
