progress	description	description_ES	actions
0	Между Мирами	po	
10	Девушка-вараннари Сильвия сообщила о возвращении королевы ведьм, я должен обсудить это с Хирдже, которая отбыла в Навариан.	po.	
15	Я узнал, что Хирдже отправилась в святилище Айроссии.	po.	
20	Мне необходимо узнать побольше о Леди ночи, возможно, в Айсмисте кто-нибудь поможет мне.	po.	
22	Мне необходимо узнать побольше о Леди ночи, возможно, Санса поможет мне.	po.	
25	Я договорился о встречи с магистром, который сможет поведать мне о Леди ночи, я должен встретиться с ним у этой статуе в Айсмисте.	po.	
30	На меня и магистра Кендрика напали зомби!	po.	
35	Я смог одолен зомби, необходимо обсудить произошедшее с магистром Кендриком.	po.	
40	Магистр Кендрик пообещал найти способ, как победить королеву ведьм, я должен вернуться в святилище Айроссии и сообщить Хирдже всё, что удалось узнать.	po.	
45	Ведьмы и злые духи напали на святилище Айроссии!	po.	
46	Я должен поговорить с Хирдже и Орионом.	po.	
50	Я и Хирдже должны отправиться к горе Орогг, чтобы отвоевать Запретные шахты, захваченные вараннари.	po.	
55	Я должен помочь Хирдже и ее товарищам одолеть войско вараннари.	po.	
60	Я помог одолеть войско вараннари, но необходимо полностью очистить Запретные шахты от их присутствия.	po.	
65	Я должен одолеть Сильвию и её помощников.	po.	
70	Я и мои спутники оказались в неизвестном месте, возможно, Сильвия поможет нам выбраться.	po.	
75	Я должен добраться до охранника подземелья и победить его, чтобы открыть путь к выходу.	po.	
80	Я одолен охранника подземелья, теперь необходимо активировать портальный камень.	po.	
85	Я должен сопроводить Сильвию в Навариан.	po.	
100	Я помог Хирдже отвоевать Запретные шахты, но королева ведьм ещё не побеждена.	po.	
