progress	description	description_ES	actions
0	Неудержимый Сталкер	po	
10	Микаэла попросила меня разобраться с фанатом, который постоянно преследует её и похищает у неё трусики, и вернуть ей самые любимые из них. Я должен найти кого-то, кто мне поможет справиться с этой задачей.	po.	
12	Мне необходимо найти Персиваля в Нью-Гаранде, чтобы он помог разобраться с проблемой Микаэлы.	po.	
15	Персиваль предложил устроить засаду на преследователя Микаэлы с помощью её трусиков, я должен обсудить этот план с ней.	po.	
17	Микаэла согласилась на предложенный план по поимке преследователя, я должен вернуться в Нью-Гаранд, чтобы сообщить об этом Персивалю.	po.	
20	Я должен поговорить с Микаэлой, чтобы начать реализацию нашего план по поимке преследователя.	po.	
22	Я должен разобраться с преследователем Микаэлы.	po.	
25	Я должен встретиться с волшебницей Эллери в Айсмисте, чтобы получить устройство, с помощью которого я смогу найти преследователя Микаэлы.	po.	
27	Мне удалось найти логово преследователя Микаэлы, возможно, на этот раз мне удастся с ним разобраться.	po.	
30	Преследователь Микаэлы снова сбежал, но мне удалось найти её любимые трусики, необходимо вернуть их ей в Нью-Гаранде.	po.	
32	Преследователь Микаэлы проник на репетицию её труппы, я должен с ним разобраться.	po.	
35	Мне необходимо встретиться с Охотничей Луной в Древним лесу, чтобы она помогла разобраться с проблемой Микаэлы.	po.	
37	Охотничья Луна согласилась помочь мне найти преследователя Микаэлы, но нужна какая-нибудь вещь девушки, чтобы выследить нашу цель.	po.	
40	Микаэла отдала мне свои трусики, я должен передать их Охотничьей Луне на юге реки Блюмист, чтобы с их помощью, она смогла выследить преследователя Микаэлы.	po.	
42	Я должен встретиться с посланником Охотничьей Луны в Нью-Гаранде ночью, чтобы узнать о результате поиска преследователя Микаэлы.	po.	
45	Посланник Охотничьей Луны сообщил, что она нашла логово преследователя Микаэлы на юге леса Сагар.	po.	
47	Преследователь Микаэлы сбежал, но мне необходимо, на всякий случай, осмотреть его логово.	po.	
50	Преследователь Микаэлы сбежал, но мне удалось найти её любимые трусики, необходимо вернуть их ей.	po.	
52	Преследователь Микаэлы проник на репетицию её труппы, я должен с ним разобраться.	po.	
55	Мне необходимо найти Магистра, возможно, он поможет разобраться с проблемой Микаэлы, поиск его, вероятно, следует начать с Айсмиста.	po.	
57	Я встретился с волшебным рыцарем Валераном, он согласился устроить встречу с Магистра в Айсмисте ночью.	po.	
60	Магистра согласился помочь мне, я должен встретиться с его посланником в Нью-Гаранде, чтобы узнать о результате поиска преследователя Микаэлы.	po.	
62	Посланник Магистра сообщил, что логово преследователя Микаэлы найдено на юге леса Сагар.	po.	
65	Благодаря Магистру мне удалось найти логово преследователя Микаэлы, теперь мне необходимо с ним разобраться.	po.	
67	Я помог Микаэле добраться до убежища.	po.	
70	Я должен окончательно разобраться с преследователем Микаэлы.	po.	
100	Я помог Микаэле разобраться с настойчивым фанатом.	po.	
130	Квест провален.	po.	
