progress	description	description_ES	actions
0	Последние Почести	po	
10	Рюргер попросил меня найти и уничтожить зомби-священнослужителей, которые бродят в Угольном карьере или соседних местностях, возможно, кто-то из местных жителей подскажет точное их местонахождение.	po.	
15	Капитан в порту Истрили предложил мне поинтересоваться насчёт зомби-священнослужителей в таверне Истриля.	po.	
20	Хозяин таверны рассказал, что на северном кпп в Угольном карьере кто-то знает о местонахождении зомби-священнослужителей.	po.	
30	Сержант северного кпп сообщил, что зомби-священнослужителей надо искать в Королевском лесу рядом со старым королевским замком.	po.	
40	Дороти из поселения в Королевском лесу сообщила, что зомби-священнослужителей надо искать рядом со старым королевским замком на севере.	po.	
50	Я уничтожил зомби-священнослужителей, необходимо забрать с них какое-нибудь доказательство.	po.	
60	Я уничтожил зомби-священнослужителей, необходимо вернуться к Рюргену и сообщить об этом.	po.	
70	Первосвященник храма Ригордиона готов вознаградить меня за оказаную помощь.	po.	
100	Я помог Рюргеру уничтожить зомби-священнослужителей.	po.	
