progress	description	description_ES	actions
0	Решительные Шаги	po	
10	Я должен сопроводить Хавис в Сол-Лаквиль, но сначала я должен обсудить с ней план действий.	po.	
15	Я должен сопроводить Хавис в Сол-Лаквиль, но сначала я должен посетить её пристанище на северо-востоке Хребта Калиона.	po.	
20	На меня и Хавис напали разбойники, я должен с ними разобраться.	po.	
25	Я должен сопроводить Хавис в Сол-Лаквиль.	po.	
30	Я и Хавис должны встретиться с губернатором Сол-Лаквиля.	po.	
32	Я и Хавис должны встретиться с губернатором Сол-Лаквиля.	po.	
33	Я и Хавис должны встретиться с губернатором Сол-Лаквиля.	po.	
35	Мне нужно покинуть кабинет губернатора Сол-Лаквиля.	po.	
40	Мне нужно отправиться в Истриль и найти Лукана или магистра Каледора.	po.	
42	С Луканом случилась беда, и я не могу с ним встретиться, но необходимо попытаться найти магистра Каледора.	po.	
45	Я должен вернуться в Королевский лес и передать Алариону сведения, полученные от магистра Каледора.	po.	
100	Я решил больше не помогать принцу Алариону.	po.	
110	Я согласился и дальше помогать принцу Алариону в его мятежном деле.	po.	
