progress	description	description_ES	actions
0	Чем дальше в лес...	po	
10	 В лесу Сагар я познакомился с лесником, который предложил мне отведать с ним его грибов, но я отказался.	po.	
15	В лесу Сагар я познакомился с лесником, который предложил мне отведать с ним его грибов, я согласился.	po.	
17	Я переместился в неизвестное место, необходимо выяснить, как мне отсюда выбраться.	po.	
20	Лесник, с которым я ел грибы, был похищен зелёными человечками, я должен спасти его и выбраться из места, в которое я очучился.	po.	
25	Говорящая, зелёная собака предложила указать мне дорогу, но я отказался.	po.	
30	Говорящая, зелёная собака подсказала мне, что надо идти прямо по тропе, чтобы выйти к мосту.	po.	
35	Мост не хочет пускать меня на другой берег, возможно, кто-нибудь сможет подсказать мне, как его переубедить.	po.	
40	Говорящая, зелёная собака предложила мне найти и избить трёх друзей Моста, чтобы он меня пропустил.	po.	
41	Я нашёл и избил одного из друзей Моста, осталось ещё двое.	po.	
42	Я нашёл и избил двоих друзей Моста, осталось ещё один.	po.	
43	Я нашёл и избил троих друзей Моста, теперь необходимо снова с ним поговорить.	po.	
45	Мост сообщил мне о трёх лагерей зелёных человечках на другом берегу реки, в одном из которых может находиться лесник.	po.	
46	Я нашёл один из лагерей зелёных человечков, но лесника в нём не оказалось.	po.	
47	Я нашёл второй лагерь зелёных человечков, но лесника в нём не оказалось.	po.	
48	Зелёный человечек сообщил мне, что я найду лесника в горах, куда можно попасть перепрыгнув через яму.	po.	
50	Я перепрыгнул через яму, теперь осталось найти лесника.	po.	
60	Я нашёл лесника, теперь необходимо выяснить у него, что случилось.	po.	
100	Я поел грибов лесника в лесу Сагар.	po.	
