progress	description	description_ES	actions
0	Драконья услуга.	po	
10	На меня напал дракон!	po.	
15	Я познакомился с драконом Шенроном, он хочет, чтобы я помог ему добыть венец драконьего владыки. Я должен встретиться с его помощниками у башни на Перевале Тхир.	po.	
20	Я познакомился с помощниками дракона Шенрона, теперь вместе с ними я должен попасть в башню через пещеры.	po.	
25	Я познакомился с помощниками дракона Шенрона, теперь вместе с ними я должен попасть в башню через пещеры.	po.	
27	Я смог попасть в башню, теперь необходимо найти венец драконьего владыки и выход из башни.	po.	
30	Я нашёл пароль от двери башни, теперь необходимо найти венец драконьего владыки.	po.	
35	Я смог открыть дверь башни и могу её покинуть, но сначала необходимо найти венец драконьего владыки.	po.	
40	Я нашёл венец драконьего владыки, теперь необходимо отдать его дракону Шенрону.	po.	
45	Я должен встретиться с драконом Шенроном в Великих равнинах, чтобы отдать ему венец драконьего владыки.	po.	
50	Я должен найти древнего гоблина в пещерах в горах Виверн, чтобы убедиться в подлиности венца драконьего владыки.	po.	
55	Я попал в нужную пещеру, теперь нужно найти где-то в ней древнего гоблина, чтобы убедиться в подлиности венца драконьего владыки.	po.	
60	Я должен встретиться с драконом Шенроном в Великих равнинах, и убедить его в том, что венец драконьего владыки был уничтожен.	po.	
100	Дракон Шенрон оставил меня без награды за помощь.	po.	
110	Дракон Шенрон обиделся, что я не принёс ему обещеного.	po.	
120	Дракон Шенрон обиделся, решив, что я его обманываю.	po.	
125	Дракон Шенрон обиделся, что я не принёс ему обещеного.	po.	
130	Дракон Шенрон оставил меня без награды за помощь.	po.	
