progress	description	description_ES	actions
0	Орочья Напасть	po	
10	Претор Назира попросила меня найти и устранить орочьих лозутчиков, я отказался ей помогать.	po.	
15	Претор Назира попросила меня найти и устранить орочьих лозутчиков, я согласился ей помочь. Я смогу отыскать их на болоте или у гор.	po.	
16	Я устранил одного из орочьих лозутчиков, осталось ещё четверо.	po.	
17	Я устранил двух орочьих лозутчиков, осталось ещё трое.	po.	
18	Я устранил трёх орочьих лозутчиков, осталось ещё двое.	po.	
19	Я устранил четверых орочьих лозутчиков, остался ещё один.	po.	
20	Я устранил всех орочьих лозутчиков, необходимо сообщить об этом сержанту Киллету на южном форпосте.	po.	
25	На форпост напал отряд орков! Я должен помочь легионерам отбить атаку.	po.	
30	Я помог отбить атаку орков, теперь необходимо поговорить с сержантом Киллетом.	po.	
35	Я помог отбить атаку орков на южный форпост и устранил всех орочьих лозутчиков, необходимо сообщить об этом Претору Назире в Либерти.	po.	
100	Я помог Претору Назире разобраться с орками, но врятли навсегда, наверняка они снова вернутся.	po.	
