progress	description	description_ES	actions
0	Непревзойденное Мастерство	po	
10	Волшебник из Истриля попросил меня помочь ему с каким-то поиском, но я отказался.	po.	
15	Волшебник из Истриля попросил меня помочь ему найти уникальную мирозиансую броню, но я отказался.	po.	
20	Волшебник из Истриля попросил меня помочь ему найти уникальную мирозиансую броню, я согласился. Для начала мне необходимо собрать обломки магической карты, для этого нужно найти и исследовать древнии руины в диких местах в пределах Королевства Печали.	po.	
21	Я нашёл один из обломком магической карты.	po.	
22	Я нашёл два обломка магической карты.	po.	
23	Я нашёл три обломка магической карты.	po.	
24	Я нашёл четыре обломка магической карты.	po.	
25	Я нашёл пять обломков магической карты.	po.	
40	Магическая карта восстановлена, теперь благодаря ей необходимо найти тайник в одних из руин, в которых я отыскивал обломки карты.	po.	
50	Мне необходимо одолеть хранителя тайника, чтобы заполучить уникальную мирозиансую броню.	po.	
60	Мне удалось заполучить уникальную мирозиансую броню, теперь необходимо вернуться к волшебнику в Истриле, чтобы продемонстрировать ему свою находку.	po.	
90	Я отказался отдавать волшебнику уникальную мирозиансую броню, он очень разозлился, теперь мне придётся разобраться с ним.	po.	
100	Я помог волшебнику из Истриля заполучить уникальную мирозиансую броню, и был им вознаграждён.	po.	
110	Я смог заполучить уникальную мирозиансую броню.	po.	
