id	faction_id	faction_id2	level	quests	name	name_ES	name_RU	name_PT	name_DE	name_PL	name_CZ	name_TR	name_IT	name_FR
1	varsilia	town_lannegar	3	"item_varsilia;bounty_varsilia"	Lannegar Town Hall	Ayuntamiento de Lannegar	Ратуша Ланнегара	Prefeitura de Lannegar	Rathaus von Lannegar	Ratusz Lannegar	Radnice v Lannegaru		Municipio di Lannegar	
2	varsilia	town_kingsbridge	4	"item_varsilia;bounty_varsilia"	Kingsbridge Town Hall	Ayuntamiento de Kingsbridge	Ратуша Кингсбриджа	Prefeitura de Kingsbridge	Rathaus von Kingsbridge	Ratusz Kingsbridge	Radnice v Kingsbridge		Municipio di Kingsbridge	
3	ilmara	town_rhoneis	3	"bounty_ilmara;item_ilmara"	Rhöneis Town Hall	Ayuntamiento de Rhöneis	Ратуша Рёнайса	Prefeitura de Rhöneis	Rathaus von Rhöneis	Ratusz Rhöneis	Radnice v Rhöneis		Municipio di Rhöneis	
4	mercia	town_jabal	4	"bounty_rebel_mercia;bounty_slave_mercia"	Jabal Town Hall	Ayuntamiento de Jabal	Ратуша Джабала	Prefeitura de Jabal	Rathaus von Jabal	Ratusz Jabal	Radnice v Jabalu		Municipio di Jabal	
5	varsilia		8	"item_varsilia;bounty_varsilia"	New Garand Town Hall	Ayuntamiento de New Garand	Ратуша Нью-Гаранда	Prefeitura de Nova Garand	Rathaus von New Garand	Ratusz New Garand	Radnice v New Garand		Municipio di New Garand	
6	mercia	town_sydarun	3	"bounty_rebel_mercia;bounty_slave_mercia"	Sydarun Town Hall	Ayuntamiento de Sydarun	Ратуша Сидаруна	Prefeitura de Sydarun	Rathaus von Sydarun	Ratusz Sydarun	Radnice v Sydarunu		Municipio di Sydarun	
7	mercia		7	"bounty_deserter_mercia;bounty_rebel_mercia"	Freetown Town Hall	Ayuntamiento de Freetown	Ратуша Фритауна	Prefeitura de Freetown	Rathaus von Freetown	Ratusz Freetown	Radnice ve Freetown		Municipio di Freetown	
8	varsilia	town_new_anthur	5	"item_varsilia;bounty_varsilia"	New Anthur Town Hall	Ayuntamiento de New Anthur	Ратуша Нью-Антура	Prefeitura de Nova Anthur	Rathaus von New Anthur	Ratusz New Anthur	Radnice v New Anthur		Municipio di New Anthur	
9	ilmara		6	"bounty_ilmara;item_ilmara;bounty_witch_ilmara"	Nivarian Town Hall	Ayuntamiento de Nivarian	Ратуша Нивариана	Prefeitura de Nivarian	Rathaus von Nivarian	Ratusz Nivarian	Radnice v Nivarian		Municipio di Nivarian	
10	ilmara	town_fogas	2	"bounty_ilmara;bounty_witch_ilmara"	Fögas Town Hall	Ayuntamiento de Fögas	Ратуша Фйогаса	Prefeitura de Fögas	Rathaus von Fögas	Ratusz Fögas	Radnice ve Fögasu		Municipio di Fögas	
11	thuram	town_whitetower	3		Whitetower Town Hall	Ayuntamiento de Whitetower	Ратуша Уайттауэра	Prefeitura de Whitetower	Rathaus von Whitetower	Ratusz BiałoWieży	Radnice Whitetoweru		Municipio di Whitetower	
12	thuram		6		Icemist Town Hall	Ayuntamiento de Icemist	Ратуша Айсмиста	Prefeitura de icemist	Rathaus von Icemist	Ratusz Icemist	Radnice Icemistu		Municipio di Icemist	
13	varsilia	town_port_malan	5	bounty_varsilia	Port Malan Town Hall	Ayuntamiento de Port Malan	Ратуша Порта Малан	Prefeitura de Porto Malan	Rathaus von Port Malan	Ratusz Port Malan	Radnice v Port Malan		Municipio di Port Malan	
14	thuram	town_solliga	3		Solliga Town Hall	Ayuntamiento de Solliga								
