region_id	region	ES	RU	PT	DE	PL	CZ	TR	IT
w_varsilia	Western Varsilia	Oeste de Varsilia	Западная Варсилия	Oeste de Varsília	Westliches Varsilia	Zachodnia Varsilia	Západní Varsilia	Batı Varsilya	Varsilia Occidentale
n_varsilia	Northern Varsilia	Norte de Varsilia	Северная Варсилия	Norte de Varsília	Nördliches Varsilia	Północna Varsilia	Severní Varsilia	Kuzey Varsilya	Varsilia Settentrionale
s_varsilia	Southern Varsilia	Sur de Varsilia	Южная Варсилия	Sul de Varsília	Südliches Varsilia	Południowa Varsilia	Jižní Varsilia	Güney Varsilya	Varsilia Meridionale
e_varsilia	Eastern Varsilia	Este de Varsilia	Восточная Варсилия	Leste de Varsília	Östliches Varsilia	Wschodnia Varsilia	Východní Varsilia	Doğu Varsilya 	Varsilia Orientale
c_mercia	Central Mercia	Mercia Central	Центральная Мерсия	Mércia Central	Zentral-Mercia	Środkowa Mercia	Střední Mercia	Orta Mersiya	Mercia Centrale
e_mercia	Eastern Mercia	Este de Mercia	Восточная Мерсия	Leste de Mércia	Östliches Mercia	Wschodnia Mercia	Východní Mercia	Doğu Mersiya	Mercia Orientale
c_ilmara	Central Ilmara	Ilmara Central	Центральная Илмара	Ilmara Central	Zentral-Ilmara	Środkowa Ilmara	Střední Ilmara	Orta İlmara 	Ilmara Centrale
e_ilmara	Eastern Ilmara	Este de Ilmara	Восточная Илмара	Leste de Ilmara	Östliches Ilmara	Wschodnia Ilmara	Východní Ilmara	Doğu İlmara 	Ilmara Orientale
wild	Wildlands	Tierras Salvajes	Дикие Земли	Terras Selvagens	Wildländer	Dzicz	Divočina	Vahşi Topraklar	Terre Selvagge
n_wild	Northern Wildlands	Tierras Salvajes del Norte	Северные Дикие Земли	Terras Selvagens do Norte	Nördliche Wildländer	Północna Dzicz	Severní Divočina	Kuzey Vahşi Topraklar	Terre Selvagge Settentrionali
e_wild	Eastern Wildlands	Tierras Salvajes del Este	Восточные Дикие Земли	Terras Selvagens do Leste	Östliche Wildländer	Wschodnia Dzicz	Východní Divočina	Doğu Vahşi Topraklar	Terre Selvagge Orientali
inori	Inori Desert	Desierto de Inori	Пустыня Инори	Deserto Inori	Inori-Wüste	Pustynia Inori	Inorská Poušť	İnori Çölü 	Deserto di Inori
s_wild	Southern Wildlands	Tierras Salvajes del Sur	Южные Дикие земли	Terras Selvagens do Sul	Südliche Wildländer	Południowa Dzicz	Jižní Divočina	Güney Vahşi Topraklar	Terre selvaggie del Sud
w_thuram	Western Thuram	Oeste the Thuram	Западный Турам	Oeste de Thuram	Westliches Thuram	Zachodnie Thuram	Zapadní Thuram	Batı Thuram	Ovest di Thuram
e_thuram	Eastern Thuram	Este de Thuram	Восточный Турам	Leste de Thuram	Östliches Thuram	Wschodnie Thuram	Východní Thuram	Doğu Thuram	Est di Thuram
w_ilmara	Western Ilmara	Oeste de Ilmara	Западный Илмара	Oeste de Ilmara	Westliches Ilmara	Zachodnie Ilmara	Zapadní Ilmara	Batı  İlmara 	Ilmara Occidentale
