spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	chancemin	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions
blue_wolf									co	beasts			1	2		
blue_wolf									co	beasts			3	5		
wild_elf_male									co	beasts			3	5		
wild_elf_female									co	beasts			3	5		
wild_elf_archer									ra	beasts			3	5		
wild_elf_male								co	beasts			6			
wild_elf_female									co	beasts			6			
blue_wolf									co	beasts			6			
wild_elf_archer									un	beasts			6			
wild_elf_berserker									ra	beasts			7			
wild_elf_witch									ra	beasts			8			
