spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	chancemin	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions
blue_wolf									co	beasts			1	5		
white_wolf									co	beasts			5	13		
ice_worm									co	beasts			7	15		
ice_drake									co	beasts			9	15		
ice_wolf									co	beasts			10	15		
polar_bear									ra	beasts			10	15		
yeti									co	beasts			12			
snow_leopard_2									co	beasts			12			
ice_giant									co	beasts			14			
polar_elder									co	beasts			15			
white_dragon									un	beasts			16			
dragon_q1									un	beasts			20			
white_dragon_epic									un	beasts			20			
