Skill name	Type (P/A)	NPC	class	melee	description	cost	cooldown	mana_cost	skill_req	trait_req	Skill name ES	description ES
Gate	A	N	M,C	N	While you are not a 'Traveller' wizard, you are still capable of some limited forms of teleportation. This power will not work in large towns and some areas that are magically sealed.						Portal	Aunque no eres un mago 'Viajero', eres capaz de teleportación limitada. Ten en cuenta que esta habilidad no funcionará en grandes ciudades y algunas zonas mágicamente selladas.
					Recall to the closest town	1	20	20				Retorno a la población más cercana
					Town Gate. When using this power you will be asked wether you want to Recall, or to teleport to a town of your choosing that you have already visited	1	3	20				Portal a Ciudad. Cuando uses este poder podrás elegir si prefieres Retorno, o teleportarte a una población a elegir de entre las que ya has visitado
Disintegrate	A	N	M	N	You call upon devastating magical energies to enhance your next weapon attack with a large amount of normal damage. The attack must be done quickly or the power vanishes.					INT#5	Desintegrar	Convocas energías mágicas devastadoras para potenciar tu próximo ataque. Funciona con cualquier arma, añadiendo una gran cantidad de daño de tipo normal. Debe usarse rápidamente o el poder se desvanece.
					Disintegrate does +50 damage on your next attack	1	20	25				Desintegrar hace +50 daño en tu próximo ataque
					Disintegrate does +75 damage on your next attack, +1/level	2	20	50				Desintegrar hace +75 daño en tu próximo ataque, +1/nivel
					Disintegrate does +100 damage on your next attack, +2/level	3	20	70				Desintegrar hace +100 daño en tu próximo ataque, +2/nivel
Mage Barrier	P	N	M	N	Your Mage Armor is improved, becoming dangerous and frustrating for your foes. Enemies hitting you in melee while your Mage Armor is active will be affected.				mage_armor#3		Barrera Mágica	Tu Armadura de Mago mejora, convertiéndose en un desafío para tus atacantes. Afecta a los que te ataquen en cuerpo a cuerpo mientras Armadura de Mago está activa.
					Enemies pushed back 1m and receive 12 Shock Damage	1						Enemigos empujados 1m y reciben 12 daño eléctrico
					Enemies pushed back 1.5m and receive 25 Shock Damage. Stun chance 10%	2						Enemigos empujados 1.5m y reciben 25 daño eléctrico. Probabilidad de aturdir 10%
					Enemies pushed back 2m and receive 40 Shock Damage. Stun chance 30%	3						Enemigos empujados 2m y reciben 40 daño eléctrico. Probabilidad de aturdir 30%
Arcanist	P	N	M	N	You are capable of powering wands and staves labeled as Arcane without requiring so much mana.				mana_surge#2	END#3	Arcanista	Eres capaz de utilizar Varitas y Bastones marcados como Arcanos sin gastar tanto maná.
					Reduces mana cost by 1	2						Reduce el coste de maná en 1
					Reduces mana cost by 2	2						Reduce el coste de maná en 2
					Reduces mana cost by 3	2						Reduce el coste de maná en 3
Fire Mastery	A	N	M	N	You are capable of summoning an elemental from the Plane of Fire for 3 minutes. They are capable of dealing good damage, but rather fragile. You can only keep one summoned creature at the same time and its level can never go above yours.				lesser_summoning#2	PER#3	Maestría del Fuego	Puedes convocar un elemental del Plano del Fuego durante 3 minutos. Son capaces de hacer mucho daño, pero bastante frágiles. Sólo puedes mantener una criatura convocada a la vez y su nivel no puede superar el tuyo. 
					Summon a level 7 Fire Elemental	2	10	25				Convoca a un elemental de Fuego de nivel 7
					Summon a level 10 Fire Elemental	2	10	35				Convoca a un elemental de Fuego de nivel 11
					Summon a level 13 Fire Elemental	2	10	45				Convoca a un elemental de Fuego de nivel 14
Ice Mastery	A	N	M	N	You are capable of summoning an elemental from the Plane of Ice for 3 minutes. They're very resilient creatures. You can only keep one summoned creature at the same time and its level can never go above yours.				lesser_summoning#2	PER#3	Maestría del Hielo	Puedes convocar un elemental del Plano del Hielo durante 3 minutos. Son criaturas muy resistentes. Sólo puedes mantener una criatura convocada a la vez y su nivel no puede superar el tuyo. 
					Summon a level 7 Ice Elemental	1	20	25				Convoca a un elemental de Hielo de nivel 6
					Summon a level 10 Ice Elemental	2	20	35				Convoca a un elemental de Hielo de nivel 11
					Summon a level 13 Ice Elemental	3	20	45				Convoca a un elemental de Hielo de nivel 15
Earth Mastery	A	N	M	N	You are capable of summoning an elemental from the Plane of Earth for 3 minutes. You can only keep one summoned creature at the same time and its level can never go above yours.				lesser_summoning#2	PER#4	Maestría de la Tierra	Puedes convocar un elemental del Plano de la Tierra durante 3 minutos. Sólo puedes mantener una criatura convocada a la vez y su nivel no puede superar el tuyo.
					Summon a level 8 Earth Elemental	2	30	40				Convoca a un elemental de Tierra de nivel 8
					Summon a level 11 Earth Elemental	2	30	60				Convoca a un elemental de Tierra de nivel 11
					Summon a level 15 Iron Golem	3	30	80				Convoca a un Gólem de Hierro de nivel 15
Summonerr	P	N	M,C	N	You are capable of strengthening the link between summoned creatures and their home plane. The creature's level is increased, and can even go above yours.					PER#3	Invocador	Eres capaz de fortalecer el vínculo entre las criaturas que convocas y su plano de origen. El nivel se incrementa, incluso por encima del tuyo.
					The creatures you summon gain +1 level	1						Las criaturas que invocas ganan +1 nivel
					The creatures you summon gain +2 levels	1						Las criaturas que invocas ganan +2 niveles
					The creatures you summon gain +3 levels	2						Las criaturas que invocas ganan +3 niveles
