table_id	english	spanish
male_first	Trace	Trace
male_first	Shep	Shep
male_first	Abel	Abel
male_first	Nedes	Nedes
male_first	Horton	Horton
male_first	Austyn	Austyn
male_first	Whit	Whit
male_first	Clifford	Clifford
male_first	Rudy	Rudy
male_first	Dale	Dale
male_first	Johann	Johann
male_first	Peter	Peter
male_first	Jorah	Jorah
male_first	Xort	Xort
male_first	Deren	Deren
male_first	Xarryl	Xarryl
male_first	Machian	Machian
male_first	Asherun	Asherun
male_first	Kudaze	Kudaze
male_first	Jizar	Jizar
male_first	Rahun	Rahun
male_first	Konrad	Konrad
male_first	Don	Don
male_first	Uther	Uther
male_first	Dagor	Dagor
male_first	Rogard	Rogard
male_first	Soemon	Soemon
male_first	Grem	Grem
male_first	Wyan	Wyan
male_first	Fiorr	Fiorr
male_first	Boro	Boro
male_first	Imtun	Imtun
male_first	Tordak	Tordak
male_first	Jutam	Jutam
male_first	Anton	Anton
male_first	Klaus	Klaus
male_first	Markus	Markus
male_first	Gustav	Gustav
male_first	Patrick	Patrick
male_first	Korg	Korg
male_first	Arthur	Arthur
female_first	April	April
female_first	Mya	Mya
female_first	Lysette	Lysette
female_first	Johanna	Johanna
female_first	Mariella	Mariella
female_first	Jeanette	Jeanette
female_first	Constanz	Constanz
female_first	Xoa	Xoa
female_first	Mara	Mara
female_first	Ryella	Ryella
female_first	Amber	Amber
female_first	Akia	Akia
female_first	Ilene	Ilene
female_first	Niraya	Niraya
female_first	Teresse	Teresse
female_first	Mera	Mera
female_first	Arelle	Arelle
female_first	Ethane	Ethane
female_first	Grea	Grea
female_first	Martha	Martha
female_first	June	June
female_first	Sella	Sella
female_first	Medea	Medea
female_first	Hilga	Hilga
female_first	Jemm	Jemm
female_first	Jasmine	Jasmine
female_first	Dharme	Dharme
female_first	Ingara	Ingara
female_first	Zilma	Zilma
female_first	Anna	Anna
alias_male	the Brave	the Brave
alias_male	the Fast	the Fast
alias_male	the Strong	the Strong
alias_male	Longstrides	Longstrides
alias_male	Brightblade	Brightblade
alias_male	Orc-slayer	Orc-slayer
alias_male	the Thirsty	the Thirsty
alias_male	Bighands	Bighands
alias_male	the Snake	the Snake
alias_male	the Shadow	the Shadow
alias_male	Longfingers	Longfingers
alias_male	BrokenAxe	BrokenAxe
alias_male	Beermaster	Beermaster
alias_male	Inn-burner	Inn-burner
alias_male	the Humorous	the Humorous
alias_male	the Damp	the Damp
alias_male	the Swift	the Swift
alias_male	the Traveller	the Traveller
alias_male	the Easterner	the Easterner
alias_male	the Red	the Red
alias_female	the Brave	the Brave
alias_female	the Fast	the Fast
alias_female	the Strong	the Strong
alias_female	Longstrides	Longstrides
alias_female	Brightblade	Brightblade
alias_female	Orc-slayer	Orc-slayer
alias_female	the Thirsty	the Thirsty
alias_female	Bighands	Bighands
alias_female	the Snake	the Snake
alias_female	the Shadow	the Shadow
alias_female	Longfingers	Longfingers
alias_female	BrokenAxe	BrokenAxe
alias_female	Beermaster	Beermaster
alias_female	Inn-burner	Inn-burner
alias_female	the Humorous	the Humorous
alias_female	the Damp	the Damp
alias_female	the Swift	the Swift
alias_female	the Traveller	the Traveller
alias_female	the Easterner	the Easterner
alias_female	the Red	the Red
human_second	Vivet	Vivet
human_second	Heyne	Heyne
human_second	Alls	Alls
human_second	Dillworth	Dillworth
human_second	Cabanes	Cabanes
human_second	Witts	Witts
human_second	Burlot	Burlot
human_second	da Cruz	da Cruz
human_second	Banton	Banton
human_second	Sauvetre	Sauvetre
human_second	Sossar	Sossar
human_second	Azoun	Azoun
human_second	Leeds	Leeds
human_second	Waterworth	Waterworth
human_second	Onathe	Onathe
human_second	Quasee	Quasee
human_second	Zephale	Zephale
human_second	Orhaur	Orhaur
human_second	Greengate	Greengate
human_second	Desini	Desini
human_second	Dozer	Dozer
human_second	Flonwe	Flonwe
human_second	Izerra	Izerra
human_second	Maslyc	Maslyc
human_second	Xeffar	Xeffar
human_second	Dearot	Dearot
human_second	Tonherai	Tonherai
human_second	Risso	Risso
human_second	Xtole	Xtole
human_second	Croc	Croc
human_second	Gurtam	Gurtam
human_second	Xaltabar	Xaltabar
human_second	Themeder	Themeder
human_second	Jabru	Jabru
human_second	Mert	Mert
human_second	Legran	Legran
human_second	Kamlavi	Kamlavi
human_second	Dent	Dent
human_second	Vundavar	Vundavar
human_second	Fonterasu	Fonterasu
human_second	Karamas	Karamas
human_second	Tilgo	Tilgo
human_second	Frammz	Frammz
human_second	Glimte	Glimte
human_second	Storba	Storba
human_second	Nurthagax	Nurthagax
human_second	Frammz	Frammz
human_second	Paldasar	Paldasar
human_second	Xaatul	Xaatul
human_second	Xojei	Xojei
humanoid_first	Gumku	Gumku
humanoid_first	Xongor	Xongor
humanoid_first	Thukpe	Thukpe
humanoid_first	Bartug	Bartug
humanoid_first	Orgash	Orgash
humanoid_first	Morog	Morog
humanoid_first	Lofdar	Lofdar
humanoid_first	Ximbair	Ximbair
humanoid_first	Dorthog	Dorthog
humanoid_first	Kurtag	Kurtag
humanoid_first	Omdu	Omdu
humanoid_first	Niithul	Niithul
humanoid_first	Uurda	Uurda
humanoid_first	Knedur	Knedur
humanoid_first	Thulgash	Thulgash
humanoid_first	Radabur	Radabur
humanoid_first	Tromkah	Tromkah
humanoid_first	Duuguth	Duuguth
humanoid_second	the Scourge	the Scourge
humanoid_second	the Devourer	the Devourer
humanoid_second	Bone-eater	Bone-eater
humanoid_second	Bloodfangs	Bloodfangs
humanoid_second	the Vile	the Vile
humanoid_second	of the North	of the North
humanoid_second	the Sacrilegous	the Sacrilegous
humanoid_second	the Tormentor	the Tormentor
humanoid_second	Skin-peeler	Skin-peeler
humanoid_second	the Dark	the Dark
humanoid_second	the Horned One	the Horned One
humanoid_second	the Nightmare	the Nightmare
humanoid_second	the Destroyer	the Destroyer
humanoid_second	Deathspawn	Deathspawn
humanoid_second	the Reckless	the Reckless
humanoid_second	the Crusher	the Crusher
humanoid_second	Smallhead	Smallhead
humanoid_second	the Cannibal	the Cannibal
dragon	Baliarthix	Baliarthix
dragon	Tesselthadyr	Tesselthadyr
dragon	Kaledrath	Kaledrath
dragon	Kelorthigax	Kelorthigax
dragon	Nivafraxis	Nivafraxis
dragon	Ursiladaryn	Ursiladaryn
dragon	Tarrdynaxyl	Tarrdynaxyl
dragon	Gronidartur	Gronidartur
dragon	Thelkumassar	Thelkumassar
dragon	Saddanilakamir	Saddanilakamir
dragon	Soradarth	Soradarth
dragon	Grikanamon	Grikanamon
dragon	Dekalatroth	Dekalatroth
dragon	Forzarhyntar	Forzarhyntar
dragon	Okardaxys	Okardaxys
dragon	Yntolarzos	Yntolarzos
dragon	Xyldaraknamis	Xyldaraknamis
dragon	Glotandaran	Glotandaran
dragon	Durstandavyr	Durstandavyr
dragon	Waroklys	Waroklys
lich	Gillorg	Gillorg
lich	Mazdhu	Mazdhu
lich	Occno	Occno
lich	Blofix	Blofix
lich	Gridorg	Gridorg
lich	Ursun	Ursun
lich	Glibra	Glibra
lich	Dexxor	Dexxor
lich	Xedoc	Xedoc
lich	Komg	Komg
beast	Gloop	Gloop
beast	Murdax	Murdax
beast	Nemto	Nemto
beast	Lortw	Lortw
beast	Xumua	Xumua
beast	Rauze	Rauze
beast	Kleeho	Kleeho
beast	Jamru	Jamru
beast	Keena	Keena
beast	Afurt	Afurt
