area_id	PosX	PosY	region	attributes	name	ES	RU	PT	DE	PL	CZ	TR	IT
E9	4	8	e_mercia	[outdoor][worldmap]	South Jabal Hills	Colinas Jabal Sur	Южные Холмы Джабала	Colinas Jabal Sul	Südliche Jabal-Hügel	Południowe Wzgórza Jabal	Pohoří Jabal - Jih	Güney Jabal Tepeleri	Colline Jabal Sud
E10	4	9	e_mercia	[outdoor][worldmap]	North Jabal Hills	Colinas Jabal Norte	Северные Холмы Джабала	Colinas Jabal Norte	Nördliche Jabal-Hügel	Północne Wzgórza Jabal	Pohoří Jabal - Sever	Kuzey Jabal Tepeleri	Colline Jabal Nord
F8	5	7	e_mercia	[outdoor][worldmap]	Sydarun Oasis	Oasys de Sydarun	Оазис Сидарун	Oasis de Sydarun	Sydarun-Oase	Oaza Sydarun	Sydarunská Oáza	Sydarun Vahası	Oasi Sydarun
F9	5	8	wild	[outdoor][worldmap]	Deadwood	Deadwood	Мертволесье	Deadwood	Totenwald	Martwy Las	Les Deadwood	Ölüorman	Deadwood
F10	5	9	e_ilmara	[outdoor][worldmap]	Rhöneis Plains	Planicie de Rhöneis	Рёнайские Равнины	Planícies de Rhöneis	Ebene von Rhöneis	Równiny Rhöneis	Rhöneiské pláně	Rhöneis Ovası 	Pianure di Rhöneis
G8	6	7	inori	[outdoor][worldmap]	Northern Inori	Inori Norte	Северная Инори	Inori Norte	Nördliche Inori	Północne Inori	Severní Inori	Kuzey İnori	Inori Nord
G9	6	8	w_varsilia	[outdoor][worldmap]	Kingsbridge	Kingsbridge	Кингсбридж	Kingsbridge	Kingsbridge	Królewski Most	Kingsbridge	Kingsbridge	Kingsbridge
G9_1	6	8	w_varsilia	[outdoor][worldmap]	Kingsbridge	Kingsbridge	Кингсбридж	Kingsbridge	Kingsbridge	Królewski Most	Kingsbridge	Kingsbridge	Kingsbridge
G10	6	9	n_varsilia	[outdoor][worldmap]	Northern Bluemist River	Río Bluemist Norte	Север реки Блюмист	Rio Bluemist Norte	Nördlicher Bluemist-Fluss	Północna Rzeka Mgieł	Řeka Bluemist - Sever	Kuzey Bluemist Nehri	Fiume Bluemist
H8	7	7	s_varsilia	[outdoor][worldmap]	New Garand Farmlands	Granjas de New Garand	Предместья Нью-Гаранда	Zona Rural de Nova Garand	Farmland von New Garand	Pola Nowego Garand	Ornice při New Garand	New Garand Tarlaları	Fattorie di New Garand
H9	7	8	w_varsilia	[outdoor][worldmap]	Southern Bluemist River	Río Bluemist Sur	Юг реки Блюмист	Rio Bluemist Sul	Südlicher Bluemist-Fluss	Południowa Rzeka Mgieł	Řeka Bluemist - Jih	Güney Bluemist Nehri	Fiume Bluemist
H10	7	9	n_varsilia	[outdoor][worldmap]	Lannegar Valley	Valle de Lannegar	Ланнегарская Лощина	Vale Lannegar	Lannegar-Tal	Dolina Lannegar	Lannegarské Údolí	Lannegar Vadisi	Valle di Lannegar
