id	know3	know3_ES	know3_RU	know3_PT	know3_DE	know3_PL	know3_CZ	know3_TR	know3_IT	know3_FR
I8_1	near the river, east of the area	cerca del rio, al este	возле реки, на востоке области	perto do rio, a leste	in der Nähe des Flusses, im Osten des Gebiets	blisko rzeki, na wschodzie	blízko řeky, východně od oblasti	nehrin yakınında, bölgenin doğusunda	vicino al fiume, ad est	
I8_2	by the hills to the west	en las colinas al oeste	у холмов на западе	perto das colinas, a oeste	in der Nähe der Hügel im Westen	obok wzgórz, na zachód	při horách na západě	batıya uzanan dağların yanında	nelle colline ad ovest	
H11_1	northeast of the area, into the mountains	al nordeste del area, en las montañas	на северо-востоке области, под горами	ao nordeste da região, nas montanhas	im Nordosten des Gebiets, Richtung Gebirge	na północnym wschodzie, w góry	severovýchod oblasti, v pohoří	bölgenin kuzeydoğusunda, dağların içine doğru	a nordest, sui monti	
H11_2	by the hills to the west	en las colinas al oeste	у холмов на западе	perto das colinas, a oeste	in der Nähe der Hügel im Westen	obok wzgórz, na zachód	při horách na západě	batıya uzanan dağların yanında	nelle colline ad ovest	
I12_1	north of the area	al norte de la zona	на севере области	a norte da região	im Norden des Gebiets	na północy	sever oblasti	bölgenin kuzeyinde	al nord della zona	
I12_2	to the southeast	al sureste	к юго-востоку	a sudoeste	südöstlich	na południowy wschód	na jihovýchodě	güneydoğuda	a sudest	
I12_cave_1										
I12_cave_2										
G10_1	in the south foothills	en las colinas de la parte sur	в южных предгорьях	nas colinas ao sul	im südlichen Gebirgsausläufer	na poludniowym pogórzu	na jižním úpatí hor	güney eteklerinde	nelle colline della parte sud	
G10_tomb_1										
H11_cave_1										
F9_1	deep into the forest	en lo profundo del bosque	глубоко в лесу	pra dentro da floresta	tief in den Wäldern	głęboko w lesie	hluboko v lese	ormanın derinliklerinde	nel profondo del bosco	
F9_mausoleum_1										
I9_1	to the northeast	al nordeste	на северо-востоке	a nordeste	nordöstlich	na północny wschód	na severovýchodě	kuzeydoğuda	a nordest	
I9_2	to the southwest	al suroeste	на юго-западе	a sudoeste	südwestlich	na południowy zachód	na jihozápadě	güneybatıda	a sudovest	
H8_tomb_1										
G7_1	to the southwest	al suroeste	на юго-западе	a sudoeste	südwestlich	na południowy zachód	na jihozápadě	güneybatıda	a sudovest	
G7_2	to the west, near the hills	al oeste, junto a las colinas	на западе, возле скал	a oeste, perto das colinas	westlich, in der Nähe der Hügel	na zachód, obok wzgórz	na západě, nedaleko hor	batıda, tepelerin yakınında	ad ovest, vicino alle colline	
G7_tomb_1										
F8_cave_1										
E8_1	in the middle of the area	En el centro de la zona	в центре области	no meio da região	im Zentrum des Gebiets	pośrodku obszaru	uprostřed oblasti	bölgenin ortasında	Al centro della zona	
E8_2	to the west near the hills	cerca de las colinas al oeste	на западе, возле скал	perto das colinas a oeste	westlich in der Nähe der Hügel	na zachód, obok wzgórz	na západě nedaleko hor	batıda, tepelerin yakınında	ad ovest vicino alle colline	
E10_1	near the middle of the hills area	cerca del centro de la zona rocosa	близко к центру скалистой части	perto do centro da área das colinas	im Zentrum des hügeligen Gebiets	niedaleko środka wzgórz	blízko středu v oblasti hor	Tepelik alanın ortalarında	vicino al centro dell'area collinosa	
E10_2	to the southeast	hacia el sureste	на юго-востоке	a sudeste	südöstlich	na południowy wschód	na jiho-východě	güneydoğuda	a sudest	
D8_1	by the mountain pass in the southwest	en el desfiladero al suroeste	возле горного прохода на юго-западе	no desfiladeiro a sudoeste	in der Nähe des Gebirgspasses im Südwesten	obok przełęczy górskiej na południowym zachodzie	při horském průsmyku na jihozápadě	güneybatıdaki dağ geçitinin yanında	al passo montano a sudovest	
D8_2	to the northeast	al nordeste	на северо-востоке	a nordeste	nordöstlich	na północny wschód	na severovýchodě	kuzeydoğuda	a nordest	
D8_cave1_1										
J9_1	to the northeast	al nordeste	на северо-востоке	a nordeste	nordöstlich	na północny wschód	na severovýchodě	kuzeydoğuda	a nordest	
J9_2	to the southeast	al sureste	на юго-востоке	a sudeste	südöstlich	na południowy wschód	na jihovýchodě	güneydoğuda	a sudest	
J8_1	to the southwest	al suroeste	на юго-западе	a sudoeste	südwestlich	na południowy zachód	na jihozápadě	güneybatıda	a sudovest	
J8_2	to the northwest	al noroeste	на северо-западе	a noroeste	nordwestlich	na północny zachód	na severozápadě	kuzeybatıya doğru	a nordovest	
J8_cave_1	in a secret chamber	en una cámara secreta	в секретной камере	em uma câmara secreta	in einer Geheimkammer	w sekretnej komnacie	v tajné komnatě	gizli bir odada	in una camera segreta	
D11_abbey_1	in the the shrine	en la capilla	во святыне	no santuário	in der Kapelle	na ołtarzu	ve svatyni	tapınakta	nella cappella	
D11_abbey_2	in one of the eastern cells	en una de las celdas al este	в одной из восточных ячеек	em uma das regiões a leste	in einer der östlichen Zellen	w jednej ze wschodnich cel	v jedné cele na východě	doğudaki hücrelerin birinde	in una delle celle orientali	
D12_1	to the north	al norte	на севере	a nordeste	nordöstlich	na północny wschód	na severovýchodě	kuzeydoğuda	a nordest	
E12_1	to the northwest	al noroeste	на северо-западе	a noroeste	nordwestlich	na północny zachód	na severozápadě	kuzeybatıda	a nordovest	
E12_cave_1										
E12_cave_2										
