faction_id	code	hostileto	flag
varsilia	1	101,102,103	flag31
mercia	2	101,102,103	flag33
ilmara	3	101,102,103	flag32
thuram	4	101,102,103	flag34
the_three	5	101,102,103	flag38
town_lannegar	6	101,102,103	flag1
town_kingsbridge	7	101,102,103	flag8
town_rhoneis	8	101,102,103	flag24
town_jabal	9	101,102,103	flag18
town_sydarun	10	101,102,103	flag12
town_new_anthur	17	101,102,103	flag9
town_fogas	18	101,102,103	flag30
town_whitetower	20	101,102,103	flag23
varannari	11	101,102,103	flag35
loreseekers	12	101,102,103	flag19
goldenhand	13	101,102,103	flag36
seventhhouse	14	101,102,103	flag37
wizardsguild	15	101,102,103	flag39
warriorsguild	16	101,102,103	flag40
friguld_governor	19	101,102,103	flag10
player	100	101,102,103,104	
enemy	101	100,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,102,103,106	
bandits	102	100,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,101,103,106	
beasts	103	100,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,101,102,106	
angrynpc	104	100	
neutral	105		
town_lamis	21	101,102,103	flag24
town_port_malan	22	101,102,103	flag2
town_solliga	23	101,102,103	flag23
