progress	description	description_ES	actions
0	A Web of Terror	Una Telaraña de Terror	
5	While I was at an outpost in the South Jabal Hills, a large group of spiders attacked!	Mientras estaba en un puesto militar en las Colinas de Jabal Sur, un gran grupo de arañas atacó.	
10	Centurion Kanum told me the disturbing events happening in Jabal Hills, as well as how an elite squad of explorers was wiped out. The only survivor, Decurion Sargos, was maimed and lost an eye. What is worse, became insane, and disappeared. 	El Centurión Kanum me ha explicado los terribles acontecimientos que ocurren en las Colinas de Jabal, y cómo un escuadrón de exploradores de élite fue aniquilado. El único superviviente, el Decurión Sargos, fué mutilado y perdió un ojo, además de volverse loco y desaparecer después.	
20	Centurion Kanum told me the disturbing events happening in Jabal Hills, as well as how an elite squad of explorers was wiped out. The only survivor, Decurion Sargos, was maimed and lost an eye. What is worse, became insane, and disappeared. I found the grotto and the dead scouts, but a magical barrier blocks my way in.	El Centurión Kanum me ha explicado los terribles acontecimientos que ocurren en las Colinas de Jabal, y cómo un escuadrón de exploradores de élite fue aniquilado. El único superviviente, el Decurión Sargos, fué mutilado y perdió un ojo, además de volverse loco y desaparecer después.  He encontrado la gruta y los exploradores muertos, pero una barrera mágica bloquea el paso.	
25	I found Decurion Sargos, he is now a crazed homeless in the streets of New Garand. I angried him and now we have to fight!	Encontré al Decurión Sargos. Ahora es un vagabundo en las calles de New Garand. ¡Le enfurecí, y ahora debemos luchar!	
30	I found Decurion Sargos, he is now a crazed homeless in the streets of New Garand. I convinced him to meet me in the South Jabal grove, because he knows how to open a magical barrier that, otherwise, is impassable.	Encontré al Decurión Sargos. Ahora es un vagabundo en las calles de New Garand. Le he convencido de que nos reunamos en la gruta de las Colinas Jabal Sur, ya que él sabe abrir una barrera mágica que de otro modo, es infranqueable.	
40	Sargos has opened the magical barrier, now I can step inside the grove, and find out what evil power lurks inside.	Sargos ha abierto la barrera mágica. Ahora puedo entrar, y descubrir qué poder maléfico se esconde en su interior.	
50	Sargos is a traitor! There was a spiderlike creature inside his skull, and he brought me here as a sacrifice, in exchange of his own freedom. Now I am trapped, and can't get out.	Sargos es un traidor... En el interior de su cráneo había una araña. Me ha traido hasta aquí como sacrificio, a cambio de su libertad. Estoy atrapado y no puedo salir!	
60	I fought Sargos, and took from him a strange magical gem before he fled.	Luché con Sargos, y conseguí quitarle una gema mágica antes de que escapase.	
70	I opened the magical barrier, now I can step inside the grove, and find out what evil power lurks inside.	He abierto la barrera mágica. Ahora puedo entrar, y descubrir qué poder maléfico se esconde en su interior.	
80	I met the evil Varannari sorceress that is at the center of the web of terror... Lady Xidar.	He conocido a la perversa hechicera Varannari que está en el centro de la telaraña de terror... La Dama Xidar.	
90	I defeated Lady Xidar, and should probably report back to Centurion Kanum	He derrotado a la Dama Xidar, y debería informar al centurión Kanum.	
100	I stopped the menace from the crazed Varannari druids. They may still lurk in the grotto, but they are weakened enough to not be a danger to the Kingdoms.	He detenido la amenaza de los enloquecidos druidas Varannari. Aun quedarán algunos en la gruta, pero están muy debilitados y ya no suponen un peligro.	
