progress	description	description_ES	actions
0	Like Father, Like Son	De tal Palo, tal Astilla	
10	A sorcerer called Azeran in Solliga is writing a book about his father, the famous wizard Ellodis Windmaker. He remembers his tales about a haunted mine by a village, and how he found some ancient ruins underground, rich with treasure. Some of his companions died, including his good friend Thalassos. Azeran would like some adventurers to locate the exact site and maybe bring some belongings from Thalassos, especially his medallion. He offers [BLUE]800 gold[] for it.	Un hechicero llamado Azeran en Solliga está escribiendo un libro sobre su padre, el famoso mago Ellodis Windmaker. Recuerda sus historias sobre una mina encantada junto a un pueblo, y cómo encontró algunas ruinas antiguas bajo tierra, ricas en tesoros. Algunos de sus compañeros murieron, incluido su buen amigo Thalassos. Azeran quiere que algunos aventureros localicen el sitio exacto y tal vez trajeran algunas pertenencias de Thalassos, especialmente su amuleto. Ofrece [BLUE]800 monedas[].	
20	I believe I found the mine Azeran of Solliga is looking for: it may be behind a buried passage in Lannegar Mine. But convincing the foreman might not be easy.	Creo que encontré la mina que Azeran de Solliga está buscando: puede estar detrás de un pasaje enterrado en la mina Lannegar.Pero convencer al capataz puede ser difícil.	
30	I found the mine Azeran of Solliga is looking for behind a buried passage in Lannegar Mine. The foreman and his miners cleared the passage for me, so I can now go down and try to find Thalassos' remains and his medallion.	Encontré la mina que Azeran de Solliga está buscando detrás de un pasaje enterrado en la mina Lannegar. El capataz y sus hombres despejaron la entrada, ya puedo descender para encontrar los restos de Thalassos y su medallón.	
40	A very old man is living in the haunted mine galleries. He seems to be no other than Thalassos! However we scared him and he fled.	Un hombre muy viejo estaba viviendo en estos pasadizos malditos, y parece ser el propio Thalassos! Pero se asustó y huyó.	
50	Thalassos says Ellodis Windmaker was a coward and betrayed them all, teleporting out of the ruins and leaving him behind... I don't know how will Azeran take these news about his father. Thalassos will meet me outside the Lannegar Mine.	Thalassos dice que Ellodis Windmaker era un cobarde y los traicionó a todos, teletransportándose fuera de las ruinas y dejándoles atrás... No sé cómo tomará Azeran estas noticias sobre su padre. Debo reunirme con Thalassos en la entrada de la mina de Lannegar.	
60	I tried to get the medallion from Thalassos by force, but he fled me. I might be able to find him, or maybe track him down, if I go to the Lannegar mine entrance.	"Intenté quitar a Thalassos su medallón, pero huyó. Debería ir a la entrada de la mina de Lannegar; podría encontrarle, o al menos seguir su rastro."	
90	It was all a trap, Azeran is Ellodis pretending to be his own son! I must now defeat him.	Todo era una trampa, ¡Azeran es Ellodis fingiendo ser su propio hijo! Ahora debo derrotarlo.	
100	Ellodis was an evil mage, old and cunning, which impersonated his own son. I am not sure what he wanted the medallion for, but he said it was a key. I defeated him, but he escaped.	Ellodis era un mago malvado, viejo y astuto, que fingía ser su propio hijo. No sé para qué quería el medallón pero el dijo que es una llave. Le vencí, pero escapó.	
110	Ellodis was an evil mage, old and cunning, which impersonated his own son. I am not sure what he wanted the medallion for, but he said it was a key. I made a deal with him and we went separate ways.	Ellodis era un mago malvado, viejo y astuto, que fingía ser su propio hijo. No sé para qué quería el medallón pero el dijo que es una llave. Hicimos un trato y seguimos caminos diferentes.	
