from_key	from_name	to_key	to_name	count
a.b	DonateWindow	n0.z	GameHUD	1
a.b	DonateWindow	net.fdgames.GameWorld.GameData	GameData	1
a.c	DonateWindow	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
a.d	DonateWindow	net.fdgames.assets.GameAssets	GameAssets	1
a.d	DonateWindow	net.fdgames.ek.Settings	Settings	1
a.d	DonateWindow	net.fdgames.assets.Assets	Assets	1
a.d	DonateWindow	net.fdgames.Helpers.GameString	GameString	1
a.e	LicenseTable	net.fdgames.assets.GameAssets	GameAssets	1
a.e	LicenseTable	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
a.e	LicenseTable	net.fdgames.ek.Settings	Settings	1
a.e	LicenseTable	net.fdgames.assets.Assets	Assets	1
a.e	LicenseTable	net.fdgames.Helpers.GameString	GameString	1
a.f	StoreWindow	n0.k1	SimpleDialog	1
a.f	StoreWindow	n0.z	GameHUD	1
a.f	StoreWindow	net.fdgames.ek.ControllerConfig	ControllerConfig	1
a.f	StoreWindow	net.fdgames.assets.Assets	Assets	1
a.f	StoreWindow	net.fdgames.ek.Settings	Settings	1
a.f	StoreWindow	net.fdgames.GameLevel.GameLevel	GameLevel	1
a.f	StoreWindow	net.fdgames.assets.GameAssets	GameAssets	1
a.f	StoreWindow	net.fdgames.GameWorld.GameData	GameData	1
a.f	StoreWindow	net.fdgames.ek.ExiledKingdoms	ExiledKingdoms	1
a.f	StoreWindow	net.fdgames.Helpers.GameString	GameString	1
k0.a	GameLevelRenderer	m0.a	ADTIsometricTiledMapRenderer	3
k0.a	GameLevelRenderer	m0.b	GameMap	1
k0.a	GameLevelRenderer	n0.w	FloatingText	1
k0.a	GameLevelRenderer	n0.z	GameHUD	1
k0.a	GameLevelRenderer	l0.e	MainMenuScreen	1
k0.a	GameLevelRenderer	l0.b	GameScreen	1
k0.a	GameLevelRenderer	net.fdgames.GameEntities.Final.Player	Player	1
k0.a	GameLevelRenderer	net.fdgames.TiledMap.Objects.MapLight	MapLight	1
k0.a	GameLevelRenderer	net.fdgames.GameLevel.GameLevelData	GameLevelData	1
k0.a	GameLevelRenderer	net.fdgames.assets.AnimationLoader	AnimationLoader	1
k0.a	GameLevelRenderer	net.fdgames.GameLevel.SpriteEffect	SpriteEffect	1
k0.a	GameLevelRenderer	net.fdgames.GameEntities.MapObject	MapObject	1
k0.a	GameLevelRenderer	net.fdgames.assets.MapParticleEffectPool	MapParticleEffectPool	1
k0.a	GameLevelRenderer	net.fdgames.Helpers.FDUtils	FDUtils	1
k0.a	GameLevelRenderer	net.fdgames.TiledMap.Objects.Coords	Coords	1
k0.a	GameLevelRenderer	net.fdgames.assets.Assets	Assets	1
k0.a	GameLevelRenderer	net.fdgames.GameEntities.MapSprite	MapSprite	1
k0.a	GameLevelRenderer	net.fdgames.GameLevel.GameLevel	GameLevel	1
