desc	desc_ES	condition	action	variablename	desc_RU	desc_PT	desc_DE	desc_PL	desc_CZ	desc_TR	desc_IT	desc_FR
It is said that a young warrior called Grissenda has vowed to recover a lost family relic. She was last seen in Northern Bluemist river, exploring some ruins.	Una joven guerrera llamada Grissenda ha jurado recuperar una reliquia familiar perdida. Fue vista cerca del rio Bluemist Norte, explorando unas ruinas.	"VariableLower#warrior_honor,10;VariableLower#rumor_grisenda,3"	IncVariable#rumor_grisenda,1	rumor_grisenda	Рассказывают,что молодая девушка - воин, по имени Гриссенда, поклялась вернуть утраченую семейную реликвию. Ее видели на севере реки Блюмист, исселедовавшей руины.	Dizem que uma jovem guerreira chamado Grissenda prometeu recuperar uma relíquia familiar perdida. Ela foi vista pela última vez no Rio Bluemist Norte, explorando algumas ruínas.	Man erzählt sich, dass eine junge Kriegerin namens Grissenda geschworen hat, ein verlorenes Familienrelikt wiederzufinden. Sie wurde zuletzt am Nördlichen Bluemist-Fluss beim Erkunden einiger Ruinen gesehen.	Krążą plotki, że młoda wojowniczka, Grissenda, przysięgła odzyskać pamiątkę rodzinną. Ostanio widziano ją w Południowej Rzece Mgieł, gdy badała jakieś ruiny.	Říká se, že mladá válečnice zvaná Grissenda přisahala, že najde ztracenou rodinnou relikvii. Naposledy byla viděna, jak zkoumá nějaké ruiny, při severní části řeky Bluemist.		Una giovane guerriera di nome Grissenda ha giurato di recuperare un cimelio familiare perduto. È stata vista vicino al nord del fiume Bluemist, e stava esplorando alcune rovine.	
Varsilia is a rich kingdom, but its roads are not safe. There's a rumor about bandits kidnapping a woman near Kingsbridge and dragging her to a cave.	Varsilia es un reino rico, pero los caminos son peligrosos. Se dice que unos bandidos raptaron a una chica cerca de Kingsbridge, llevándosela hacia el norte.	"VariableLower#find_constanze,20;VariableLower#rumor_constanze,2"	IncVariable#rumor_constanze,1	rumor_constanze	Варсилия - богатое королевство, однако, дороги небезопасны. Рассказывают,что бандиты похитили девушку рядом с Кингсбриджем, и затащили ее в пещеру.	Varsilia é um reino rico, mas suas estradas não são seguras. Há um boato de que bandidos sequestraram uma jovem perto de Kingsbridge e a mantêm em uma caverna.	Varsilia ist ein wohlhabendes Königreich, aber seine Straßen sind nicht sicher. Es gibt Gerüchte über Banditen, die eine Frau nahe Kingsbridge entführt und in ihre Höhle verschleppt haben sollen.	Varsilia to bogate królestwo, ale drogi nie są bezpieczne. Krążą plotki, że bandyci porwali kobietę niedaleko Królewskiego Mostu i uwięzili w jakiejś jaskini.	Varsilia je bohaté Království, její cesty však nejsou bezpečné. Proslýchá se, že loupežníci přepadli ženu nedaleko Kingsbridge a odtáhli jí do jeskyně.		Varsilia è un regno ricco, ma le sue strade non sono sicure. C è una voce sui banditi che hanno rapito una donna vicino a Kingsbridge e l'hanno trascinano in una grotta.	
Years ago, one of those Loreseekers from New Garand ventured into the Deadwood. She was never seen again.	Hace años, uno de esos 'Buscadores de Secretos' de New Garand se aventuró en el Deadwood. Nunca se la volvió a ver.	VariableEqual#forgotten_lore,40	SetVariable#forgotten_lore,45		Несколько лет назад одна из Искателей Знаний из Нью-Гаранда вошла в Мертволесье. Больше её не видели.	Anos atrás, uma dessas Buscadores do Saber de Nova Garand aventurou-se em Deadwood. Ela nunca mais foi vista.	Vor vielen Jahren wagte sich eine dieser Wissenssucherinnen aus New Garand in den Totenwald. Sie wurde nie wieder gesehen.	Lata temu Królewska Poszukiwaczka Wiedzy zapuściła się do Martwego Lasu. Już jej nigdy nie widziano.	Před lety, jedena z New Garandských Hledaček se odvážila jít do lesa Deadwood. Poté se však po ní slehla zem.		Anni fa, un ricercatore di segreti di New Garand si avventurò nel Deadwood. Non si sa più nulla di lui.	
Some monsters, like undead, are much stronger by night. 	Algunos monstruos, como los muertos vivientes, son mucho más fuertes de noche.	"PlayerIsntLevel#4;VariableLower#rumor_monstersnight,3"	IncVariable#rumor_monstersnight,1		Некоторые чудовища, например нежить, гораздо сильнее ночью.	Alguns monstros, como os mortos-vivos, são muito mais fortes à noite.	Einige Monster, z.B. Untote, sind nachts deutlich stärker.	Niektóre potwory, podobnie jak i nieumarli, są silniejsze w nocy.	Některé stvůry, jako třeba nemrtvý, jsou mnohem silnější v noci.		Alcuni mostri, come i non morti, sono più forti di notte.	
In Mercia there is slave trade, which makes other kingdoms nervous. But they don't enslave 'civilized' people, only Varannari savages, or convicts.	En Mercia hay comercio de esclavos, y eso disgusta a los demás reinos. Pero no esclavizan a gente 'civilizada', sólo a Varannari y a criminales.	VariableLower#rumor_merciaslaves,2	IncVariable#rumor_merciaslaves,1		"В Мерсии существует работорговля, что немного раздражает другие Королевства. Однако рабами не становятся ""цивилизованные"" люди, только дикари Вараннари и преступники."	"Em Mercia há comércio de escravos, a contragosto de outros reinos. Mas eles não escravizam pessoas ""civilizadas"", apenas selvagens Varannari e condenados."	"In Mercia gibt es Sklavenhandel, was die anderen Königreiche nervös macht. Aber sie versklaven keine ""zivilisierten"" Leute, sondern nur wilde Varannari und Verurteilte."	W Mercii istnieje handel niewolnikami, co sprawia, że pozostałe królestwa są nerwone. Ale nie zniewalają 'cywilizowanych' ludzi, tylko dzikusów Varannari i skazańców.	"V Mercii kvete obchod s otroky, což znervózňuje ostatní království. Mercie však nezotročuje ""civilizované"" lidi, pouze divoké Varannari a zločince."		A Mercia c' è la tratta degli schiavi, che rende gli altri regni nervosi. Ma non schiavizzano persone' civilizzate', ma solo selvaggi Varannari o detenuti.	
A group of Varannari hunters is now camping in South Sagar Forest. They can be dangerous, but normally they just go about their own business and sometimes you can trade with them.	Un grupo de cazadores Varannari está acampado en el Bosque de Sagar Sur. Pueden ser peligrosos, pero normalmente van a lo suyo, y a veces se puede comerciar con ellos.	"VariableLower#wolf_hunt,1;VariableLower#rumor_varannarihunters,2"	IncVariable#rumor_varannarihunters,1	rumor_varannarihunters	 Группа охотников Вараннари разбила лагерь на Юге Леса Сагар. Они могут быть опасны, но в основном они просто заняты своими делами, и иногда с ними можно торговать.	Um grupo de caçadores Varannari está agora acampando na Floresta Sagar Sul. Eles podem ser perigosos, mas normalmente apenas caçam em paz e às vezes você pode negociar com eles.	Eine Gruppe von Varannari-Jägern hat nun ihr Lager im Südlichen Sagar-Wald aufgeschlagen. Sie können gefährlich sein, gehen aber normalerweise nur ihren eigenen Geschäften nach und manchmal kann man mit ihnen handeln.	Grupa łowców Varannari rozbiła obóz w Południowym Lesie Sagar. Mogą być niebezpieczni, ale zwykle zajmują się własnymi sprawami i czasem można z nimi pohandlować.	Skupina Varannarských lovců teď táboří na jihu Sagarského Lesa. Mohou být nebezpeční, normálně se však věnují svým zájmům a občas se s nimi dá obchodovat.		Un gruppo di cacciatori Varannari è in campeggio nella Foresta Sud di Sagar. Possono essere pericolosi, ma normalmente si limitano a fare il proprio business e a volte è possibile commerciare con loro.	
It is said that a gem trader in Jabal is offering much better price for emeralds than usual. Maybe he is a wizard and uses them as reagents?	Se dice que un comerciante de gemas en Jabal ofrece mucho mejor precio de lo habitual por las esmeraldas. Quizá sea un mago y vaya a usarlas como componentes...	"PlayerIsLevel#4;VariableLower#rumor_emeraldsjabal,3;VariableLower#emeral_sold,1"	IncVariable#rumor_emeraldsjabal,1	rumor_emeraldsjabal	Говорят, торговец драгоценными камнями в Джабале предлагает за изумруды намного больше денег, чем все остальные. Возможно, он волшебник, и использует их как реагенты?	Dizem que um comerciante de jóias em Jabal está oferecendo um preço muito melhor por esmeraldas do que o habitual. Talvez ele seja um mago e as use como reagentes?	Man erzählt sich, dass ein Edelsteinhändler in Jabal viel bessere Preise für Smaragde bietet als üblich. Vielleicht ist er ein Zauberer und verwendet sie als Zutat?	Handlarz klejnotami w Jabal oferuj wyższe ceny za szmaragdy niż inni. Może jest czarodziejem i używa ich jako regentów?	Proslýchá se, že obchodník s drahými kameny v Jabal nabízí za smaragdy více zlatáků než je obvyklé. Že by to byl čaroděj, který je používá jako reaktanty?		Si dice che un commerciante di gemme, a Jabal, offre un prezzo migliore per gli smeraldi rispetto a tutti. Forse è un mago e li usa come reagenti?	
Goblins may seem puny and weak, but they can swarm you easily. And deep in the mountains, it's said they're bigger and stronger, so watch out!	Los goblins pueden parecer débiles e inofensivos, pero pueden rodearte fácilmente. Y en las montañas hay goblins más grandes y fuertes, así que cuidado!	"PlayerIsntLevel#4;VariableLower#rumor_goblins,2"	IncVariable#rumor_goblins,1	rumor_goblins	Гоблины могут казаться мелкими и щуплыми, но запросто могут окружить тебя. А глубоко в горах, говорят, они крупнее и сильнее, так что смотри в оба!	Goblins podem parecer fracos e insignificantes, mas podem cercá-lo facilmente. E nas cavernas das montanhas, dizem que são maiores e mais fortes, então fique atento!	Goblins scheinen mickrig und schwach zu sein, aber sich können dich leicht umzingeln. Und man erzählt sich, dass sie tief in den Bergen größer und stärker sind, als nimm dich in Acht!	Gobliny mogą się wydawać słabe i małe, ale z łatwością mogą przytłoczyć cię swą liczbą. A górach są większe i silniejsze, więc uważaj!	Skřetí se zdají být malincí a slabí, mohou tě však jednoduše obklíčit. Říká se, že ti hluboko v horách bývají mnohem větší a silnější, tak si dávej pozor!		I Goblin possono sembrare deboli e innocui, ma possono circondarti facilmente. E in montagna ci sono goblin più grandi e forti, quindi attenzione!	
Have you heard the good news? Some hero entered Lannegar Mine and defeated the goblins, including their Flamedancer leader. Now the mines have been reopened!	Has oido las buenas noticias? Un héroe acabó con los goblins de la Mina de Lannegar, incluyendo su lider. Las minas han sido reabiertas!	"VariableEqual#lannegar_mine_cleared,1;VariableLower#rumor_mine_reopened,3"	IncVariable#rumor_mine_reopened,1		 Слышал добрые вести? Какой-то герой спустился в Ланнегарскую Шахту и уничтожил всех гоблинов, включая их лидера Огнепляса. Теперь шахты снова работают!	Você já ouviu as boas novas? Algum heróis entrou na Minas Lannegar e derrotou os goblins, incluindo o líder Dançarino das Chamas. Agora as minas foram reabertas!	Hast du schon die guten Neuigkeiten gehört? Ein Held ging in die Lannegar-Mine und hat die Goblins besiegt, einschließlich ihres Flammentänzer-Anführers. Jetzt wurden die Minen wieder eröffnet.	Słyszłeś wieści? Jakiś bohater udał się do kopalni w Lannegar i pokonał gobliny. Nawet ich przywódcę, Tancerza Ognia. Wznowiono wydobycie!	Slyšel jsi tu dobrou novinu? Nějaký hrdina vlezl do Lannegarského Dolu a pobil skřety včetně jejich vůdce, Pyromancera. Důl byl právě znovu otevřen!		Avete sentito la buona notizia? Un eroe è entrato in miniera Lannegar Mine e ha sconfitto i folletti, tra cui il loro leader Flamedancer. Ora le miniere sono state riaperte!	
There is a strange vagabond wandering the streets of New Garand... He is huge, his face is deformed, and he seems to have lost his mind. The guards should lock him up.	Hay un extraño vagabundo por las calles de New Garand... Es enorme, su cara está deformada, y parece haber perdido el juicio. La guardia debería encerrarle, por si acaso.	"VariableGreater#web_terror,0;VariableLower#web_terror,31;VariableLower#rumor_decurion,3"	IncVariable#rumor_decurion,1	rumor_decurion	Какой-то жуткий бродяга шатается по улицам Нью-Гаранда... Он огромен, его лицо изуродовано, и похоже, что он безумен. Стражникам стоило бы посадить его в клетку.	Há um estranho vagabundo vagando pelas ruas de Nova Garand... ele é enorme, seu rosto está deformado e ele parece ter perdido a sanidade. Os guardas deveriam prendê-lo.	Ein merkwürdiger Vagabund durchstreift die Straßen von New Garand... Er ist groß, sein Gesicht entstellt, und er scheint seinen Verstand verloren zu haben. Die Wachen sollten ihn einsperren.	Jakiś dziwak krąży po ulicach Nowego Garand. Jest potężnej budowy, ma zdeformowaną twarz i wydaje się, że postradał zmysły. Strażnicy powinni go zamknąć.	V ulicích New Garand se potlouká prapodivný otrhanec... je obrovský, jeho tvář je deformovaná a zdá se, že přišel o rozum. Stráže by ho měli zavřít.		C' è uno strano vagabondo che cammina per le strade di New Garand.... È enorme, il suo volto è deformato e sembra insano di mente. Le guardie dovrebbero bloccarlo!	
