spawn_ID	race	class	minlevel	maxlevel	weapon_id	defense	resist	movement	attributes	loot	sprite	Size	Skillset	AI	faction	gender	portrait	onDieConditions	onDieActions	onAggroSound	onDieSound
batrax		rogue	6	9	steel_longsword	1	0,40,30,30,25,0	1		batrax	batrax	1	"stab#1,2;sneak_attack#1,2"	patroller	enemy	M	0			batrax	
batrax_theurgist		cleric	7	9	ice_blast	1	0,80,30,30,25,0	1		batrax_theurgist	batrax_red	0.75	"holy_shield#0,2;heal_wounds#0,2"	patroller	enemy	M	0			batrax	
worm		warrior	8	10	carrion_bite	3	20,20,-30,20,150,80	1	[beast]	carrion	worm	0.75		patroller	beasts	M	0			insect	
devourer		warrior	10	13	devourer_bite	5	50,50,-10,40,150,80	1	[beast]	devourer	worm	1		patroller	beasts	M	0			insect	
spider_lesser		warrior	2	4	toxic_bite	0	0,0,-30,0,0,0	1.3	[beast]	spider_lesser	spider	0.6		patroller	beasts	M	0			insect	
bloodcrawler	weak	warrior	5	6	toxic_bite	0	0,0,-70,0,0,0	1.3	[beast]	spider_lesser	spider	0.5		patroller	beasts	M	0			insect	
spider		warrior	4	7	toxic_bite	2	0,0,-30,0,100,0	1.1	[beast]	spider	spider	1		patroller	beasts	M	0			insect	
sand_spider	weak	rogue	5	8	acid_blast	0	0,0,-30,0,100,0	1.1	[beast]	spider	spider	0.8		patroller	beasts	M	0			insect	
spider_monstruous		warrior	8	10	toxic_bite_monstruous	4	0,0,-30,0,250,0	1	[beast]	spider	spider	1.25		patroller	beasts	M	0			insect	
demonic_spider	boss	warrior	16	16	poison_claw_15	6	0,0,-30,0,250,0	1	[beast][outsider]	"demonic_spider;dragon;consumables_16"	spider	1.35		patroller	enemy	M	0			insect	
grey_wolf		warrior	2	3	wolf_bite	0	-25,25,0,0,0,0	1.2	[beast]	grey_wolf	wolf	0.6		patroller	beasts	M	0			beast1	
tamed_wolf		warrior	4	5	wolf_bite	0	-25,25,0,0,0,0	1.2	[beast]	grey_wolf	wolf	0.7		patroller	enemy	M	0			beast1	
wolf		warrior	4	5	wolf_bite	0	-25,25,0,0,0,0	1.2	[beast]	grey_wolf	wolf	0.7		patroller	beasts	M	0			beast1	
dire_wolf		warrior	6	7	wolf_bite	0	-25,25,0,0,0,0	1.2	[beast]	grey_wolf	wolf	0.85		patroller	beasts	M	0			beast1	
coyote		warrior	3	6	wolf_bite	0	-25,25,0,0,0,0	1.2	[beast]	grey_wolf	coyote	0.8		patroller	beasts	M	0	"VariableGreater#coyote_hunt,9;VariableLower#coyote_hunt,20"	IncVariable#coyote_hunt,1	beast1	
rat	weak	warrior	1	1	goblin_spear	0	0,25,0,0,70,0	.9	[beast]		rat	0.7		patroller	enemy	M	0			"rat1;rat2;rat3"	
bear		warrior	8	10	bear_bite	2	-25,25,0,0,0,0	1.1	[beast]	bear	bear	0.95	fury#1	patroller	beasts	M	0			monster_deep_1	
bear_summoned		warrior	10	10	bear_bite	2	-25,25,0,0,0,0	1.1	[beast]	bear	bear	0.95	fury#1	patroller	player	M	0			monster_deep_1	
sabercat		warrior	10	10	tiger_bite	1	-25,25,0,0,0,0	1	[beast]	sabercat	tiger	0.9	flurry#1	patroller	beasts	M	0			monster_deep_1	
sabercat_alpha	strong	warrior	13	14	tiger_bite	3	-25,25,0,0,0,0	1.3	[beast]	sabercat_alpha	tiger	1.2	"flurry#2;heavyhand#2"	patroller	beasts	M	0			monster_deep_2	
sabercat_corrupted		warrior	14	15	tiger_bite_corrupted	2	-25,25,0,0,0,0	1.3	[beast]	sabercat_corrupted	tiger_blue	1	flurry#2	patroller	enemy	M	0			monster_deep_1	
polar_bear		warrior	11	12	bear_bite_ice	2	"""-25,250,0,0,0,0"""	1.1	[beast]	polar_bear	bear_white	1	fury#2	patroller	enemy	M	0			monster_deep_1	
yeti	strong	warrior	13	13	ice_punch_2	2	"""-25,250,90,30,30,30"""	1.05	[beast]	yeti	yeti	0.9	flurry#2	patroller	enemy	M	0			monster_deep_3	
yeti_ancient	boss	warrior	17	17	ice_punch_2	4	"""-25,250,90,30,30,30"""	1.1	[beast]	"yeti;consumables_16;shards_boss_fixed"	yeti	1.1	"flurry#3;bash#2"	patroller	enemy	M	0			monster_deep_3	
vorator		warrior	12	13	vorator_bite	2	"""100,0,50,100,100,20"""	1.1	[beast]		vorator	1	bash#0,2	patroller	beasts	M	0			monster_deep_3	
vorator_matriarch	miniboss	warrior	15	15	vorator_bite	5	"""200,0,50,200,200,30"""	1.1	[beast]		vorator	1.15	"bash#3;heavyhand#2"	patroller	beasts	M	0			monster_deep_3	
vorator_grozza	boss	warrior	18	18	vorator_bite	6	"""300,0,50,300,300,30"""	1.1	[beast]	"grozza;consumables_16"	vorator	1.3	"bash#3;heavyhand#3"	patroller	beasts	M	0			monster_deep_3	
polar_elder	miniboss	warrior	14	15	bear_bite_ice_elder	4	"""-35,250,40,20,20,0"""	1.1	[beast]	bear_elder	bear_white	1.2	fury#3	patroller	beasts	M	0			monster_deep_1	
giant_rat		warrior	5	5	toxic_bite	2	0,25,0,0,70,0	1	[beast]		rat	1		patroller	enemy	M	0			"rat1;rat2;rat3"	
swamp_rat		warrior	6	7	toxic_bite	2	0,25,0,0,70,0	1	[beast]		rat	1		patroller	enemy	M	0			"rat1;rat2;rat3"	
enraged_rat	strong	warrior	8	8	toxic_bite	4	0,25,0,0,70,0	1	[beast]		rat	1.2	fury#1	patroller	enemy	M	0			monster_deep_1	
white_wolf		warrior	8	10	icewolf_bite	2	"""-25,280,0,0,0,0"""	1.2	[beast]	white_wolf	wolf_white	0.9		patroller	beasts	M	0			beast1	
ice_wolf		warrior	11	12	icewolf_bite	2	"""-25,280,0,0,0,0"""	1.2	[beast]	white_wolf	wolf_white	1		patroller	enemy	M	0			beast1	
