Skill name	Type (P/A)	NPC	class	melee	description	cost	cooldown	mana_cost	skill_req	trait_req	Skill name ES	description ES
Duel	P	Y	W,C	N	If you hit the same enemy multiple times, you gain bonus damage which keeps increasing with each new hit. The effect ends if you hit a different enemy, or you abandon combat.					PER#2	Duelo	Si golpeas dos veces al mismo enemigo, ganas un bonus al daño que irá aumentando. El efecto acaba si atacas a otro enemigo, o dejas de combatir.
					Damage increments by +1 per hit, up to a maximum of +4	1						Aumento del daño en +1 por golpe, hasta un máximo de +4
					Damage increments by +2 per hit, up to a maximum of +6	2						Aumento del daño en +2 por golpe, hasta un máximo de +6
					Damage increments by +2 per hit, up to a maximum of +10	3						Aumento del daño en +2 por golpe, hasta un máximo de +10
Rapid fire	A	N	R,W	R	For a few seconds, your rate of fire with bows increases.					AGI#4	Disparo Rápido	Durante unos segundos, tu velocidad de disparo con arcos aumenta.
					Attack speed increased by 40% for 6 seconds	1	20					Incrementa la velocidad de ataque en 40% durante 6 segundos.
					Attack speed increased by 70% for 6 seconds	2	20					Incrementa la velocidad de ataque en 70% durante 6 segundos.
					Attack speed increased by 100% for 6 seconds	3	20					Incrementa la velocidad de ataque en 100% durante 6 segundos.
Flurry	A	N	R,W	Y	For a few seconds, your melee attack speed increases.					AGI#6	Ráfaga de Golpes	Durante unos segundos, tu velocidad de ataque cuerpo a cuerpo aumenta.
					Attack speed increased by 25% for 6 seconds	1	20					Incrementa la velocidad de ataque en 25% durante 6 segundos.
					Attack speed increased by 50% for 6 seconds	2	20					Incrementa la velocidad de ataque en 50% durante 6 segundos.
					Attack speed increased by 75% for 6 seconds	3	20					Incrementa la velocidad de ataque en 75% durante 6 segundos.
Precission Strikes	P	N	W,R,C	Y	Your critical chance with melee weapons is increased.					"INT#1;AWA#1"	Ataques Precisos	Tu porcentaje de críticos con armas cuerpo a cuerpo aumenta.
					increase weapon's base critical chance by 50%	1						Aumenta el porcentaje de críticos de tu arma en un 50%
					increase weapon's base critical chance by 100%	2						Aumenta el porcentaje de críticos de tu arma en un 100%
					increase weapon's base critical chance by 150%	3						Aumenta el porcentaje de críticos de tu arma en un 150%
Precission Shots	P	N	R,W,M	R	Your critical chance with ranged weapons is increased.					"INT#1;AWA#1"	Disparos Precisos	Tu porcentaje de críticos con armasa distancia aumenta.
					increase weapon's base critical chance by 50%	1						Aumenta el porcentaje de críticos de tu arma en un 50%
					increase weapon's base critical chance by 100%	2						Aumenta el porcentaje de críticos de tu arma en un 100%
					increase weapon's base critical chance by 150%	3						Aumenta el porcentaje de críticos de tu arma en un 150%
Massive Criticals	P	N		N	Your critical hits go beyond the usual 150% max damage, with a chance to insta-kill enemies 2 levels below yours (some are immune)					STR#3	Críticos Masivos	Tus críticos hacen más daño que el habitual 150% de máximo, y pueden matar enemigos 2 niveles inferiores(algunos son inmunes)
					Criticals do up to 200% of max weapon damage, 10% chance to kill weaker enemies.	1						Tus críticos hacen hasta un 200% del máximo del arma, 10% prob. de matar enemigos débiles.
					Criticals do up to 250% of max weapon damage, 25% chance to kill weaker enemies.	2						Tus críticos hacen hasta 250% del máximo del arma, 25% prob. de matar enemigos débiles.
					Criticals do up to 300% of max weapon damage, 50% chance to kill weaker enemies.	3						Tus críticos hacen hasta 300% del máximo del arma, 50% prob. de matar enemigos débiles.
Heavyhand	P	N	W,R,C	Y	Extensive training makes you put more might behind every blow. Your melee attacks cause additional damage.					STR#4	Mano Pesada	Has entrenado a fondo para que tus golpes lleven mayor potencia. Tus ataques cuerpo a cuerpo causan más daño.
					Gain +1 extra damage per attack	1						Suma +1 al daño en tus ataques
					Gain +3 extra damage per attack	2						Suma +3 al daño en tus ataques
					Gain +5 extra damage per attack	3						Suma +5 al daño en tus ataques
Assassinate	P	N	R	Y	After a succesful Stab, the skill has a chance to immediately cool down and be available again.				stab#3		Asesinar	Tras usar Apuñalar con éxito, hay una probabilidad de que la habilidad vuelva a estar disponible de inmediato.
					10% chance of Stab immediate cooldown, 30% if the Stab killed the enemy	1						10% de que Apuñalar se reactive, 30% si el golpe mató a un enemigo.
					20% chance of Stab immediate cooldown, 50% if the Stab killed the enemy	2						20% de que Apuñalar se reactive, 50% si el golpe mató a un enemigo.
					35% chance of Stab immediate cooldown, 75% if the Stab killed the enemy	3						35% de que Apuñalar se reactive, 75% si el golpe mató a un enemigo.
Explosive Traps	P	N	R	N	Your traps explode right after being triggered, causing fire damage in a 2m radius. It also affects you, but not your party members.				trap_master#3		Trampas Explosivas	Tus trampas explotan tras activarse, causando daño por fuego en un radio de 2 metros. También te afecta a tí, pero no a otros aliados.
					Explosion deals 12-24 fire damage	1						La explosión causa 12-24 daño por fuego
					Explosion deals 18-36 fire damage	2						La explosión causa 18-36 daño por fuego
					Explosion deals 24-48 fire damage	3						La explosión causa 24-48 daño por fuego
Poison Master	P	N	R	N	You are well versed in the dubious art of poisoning your weapons, and your familiarity makes you resistant to many of them.					"INT#1;END#2"	Maestro de Venenos	Conoces bien el arte dudoso de envenenar tus armas, y estás acostumbrado a los efectos de todo tipo de veneno, hasta el punto de ser resistente a ellos.
					Increase poison duration by 50%. +10 to Toxic Resistance	1						Incrementa la duración del veneno en 50%. +10 a Resistencia Tóxica.
					Increase poison effect by 25%, and duration by 75%. +20 to Toxic Resistance	2						Incrementa el efecto del veneno en un 25% y la duración en 75%. +20 a Resistencia Tóxica.
					Increase poison effect by 50%, and duration by 100%. +30 to Toxic Resistance	3						Incrementa el efecto del veneno en un 50% y la duración en 100%. +30 a Resistencia Tóxica.
Invisibility	P	N	R	Y	You can use your Stealth even when enemies have discovered you, poofing out of sight.				stealth#3		Invisibilidad	Puedes usar tu Sigilo incluso cuando hay enemigos a tu alrededor, desapareciendo de su vista.
					50% chance of using Stealth succesfully in front of enemies	1						Probabilidad de 50% de usar sigilo con éxito cuando estas frente a enemigos.
					75% chance of using Stealth succesfully in front of enemies, and 75% chance of remaining hidden when opening doors or chests.	2						Probabilidad de 75% de usar sigilo con éxito cuando estas frente a enemigos, y de seguir escondido al abrir cofres o puertas
					95% chance of using Stealth succesfully in front of enemies, and 95% chance of remaining hidden when opening doors or chests.	3						Probabilidad de 95% de usar sigilo con éxito cuando estas frente a enemigos, y de seguir escondido al abrir cofres o puertas
Battle Rage	A	N	W	Y	You enter a state of unleashed fury gaining a bonus to STR and armor. You become immune to stun or paralysis, also removing the effect. Afterwards you will be fatigued for 5 s.(-5 damage and armor).				fury#3	END#4	Rabia de Batalla	Entras en un estado de furia sin control, aumentando FUE y armadura. Serás inmune a aturdir o parálisis, eliminando además el efecto. Cuando termine, estarás fatigado (-5 daño y armadura durante 5s.)
					Gain +2 STR, +3 armor, and immunity to mental effects for 6s	1	30					Gana +2 FUE, +3 armadura, e inmunidad a efectos mentales durante 6s
					Gain +3 STR, +4 armor, and immunity to mental effects for 8s	2	30					Gana +3 FUE, +4 armadura e inmunidad a efectos mentales durante 8s
					Gain +4 STR, +5 armor, and immunity to mental effects for 9s	3	30					Gana +4 FUE, +5 armadura e inmunidad a efectos mentales durante 9s
Bloodlust	P	N	W,R,C	Y	A battle trance that sharpens your focus and makes you unstoppable. Adds bonuses for some seconds after you kill an enemy in melee (non-cumulative)					PER#3	Sed de Sangre	Un trance de batalla en el que aumenta tu concentración y te hace imparable. Ganas bonificadores durante unos segundos tras vencer a un enemigo cuerpo a cuerpo(no se acumulan)
					After killing an enemy, +3 damage and +2 armor for 6 seconds	1						Tras matar un enemigo, +3 daño y +2 armadura durante 6 segundos
					After killing an enemy, +4 damage and +3 armor for 6 seconds	2						Tras matar un enemigo, +4 daño y +3 armadura durante 6 segundos
					After killing an enemy, +6 damage and +4 armor for 6 seconds	3						Tras matar un enemigo, +6 daño y +4 armadura durante 6 segundos
Magical Training	P	N	R,W	N	Despite not having any magical powers, you have been trained to use magic items that have a mana cost. It can be rather exhausting for your health.					INT#3	Entrenamiento Mágico	Pese a no tener poderes mágicos, has sido entrenado para usar objetos que requieren maná, aunque puede ser muy cansado.
					You can use scrolls with mana cost, spending 10hp per mana point.	1						Puedes usar pergaminos perdiendo 10 puntos de vida en lugar de 1 punto de mana.
					You can use scrolls with mana cost, spending 6hp per mana point.	1						Puedes usar pergaminos perdiendo 6 puntos de vida en lugar de 1 punto de mana.
					You can use scrolls with mana cost, spending 4hp per mana point.	1						Puedes usar pergaminos perdiendo 4 puntos de vida en lugar de 1 punto de mana.
Turn Undead	A	N	C	N	The Holiness within you can disrupt the undead by your mere presence, paralyzing them. 				crusader#2		Expulsar Muertos Vivientes	El poder sagrado dentro de tí puede dañar a los muertos vivientes por tu mera presencia, paralizándoles.
					Paralize for 3 seconds all the undead enemies in a 2 meter radius	1	20	4				Paraliza durante 3 segundos a los enemigos muertos vivientes en un radio de 2 metros
					Paralize for 4 seconds all the undead enemies in a 4 meter radius	2	20	5				Paraliza durante 4 segundos a los enemigos muertos vivientes en un radio de 4 metros
					Paralize for 5 seconds all the undead enemies in a 6 meter radius	3	20	6				Paraliza durante 5 segundos a los enemigos muertos vivientes en un radio de 6 metros
Retribution	P	N	C	N	Whenever you destroy an undead or an outsider from another plane, you will absorb its essence, transforming it into magical energy. It might not work with certain monsters.					INT#2	Castigo	"Cada vez que destruyas a un muerto viviente, o aun ""extraño"" procedente de otro plano, absorberás su esencia transformándola en energía mágica. Puede no funcionar con algunos enemigos."
					You recover 1 mana point per undead/outsider destroyed.	2						Recuperas 1 punto de mana por muerto viviente o Extraño destruido
					You recover 2 mana points per undead/outsider destroyed.	3						Recuperas 2 puntos de mana por muerto viviente o Extraño destruido
Guardian Wolf	A	N	C	N	Summon a wild spirit which takes the form of a wolf and follows you. 					INT#3	Lobo Guardián	Convova a un espíritu silvestre que toma la forma de un lobo y te sigue.
					Summon a level 7 Dire Wolf for 3 minutes	2	120	15				Convoca a un Lobo Salvaje de nivel 7 durante 3 minutos
					Summon a level 10 White Wolf for 5 minutes	2	90	20				Convoca a un Lobo Blanco de nivel 10 durante 5 minutos
					Summon a level 13 Spirit Wolf for 5 minutes	2	60	35				Convoca a un Lobo Espiritual de nivel 13 durante 5 minutos.
Spiritual Ward	P	N		N	Your willpower and inner strength are legendary, making you more resilient to stun, paralysis and other mind effects. Gain a permanent bonus to Spirit resistance, which stacks with other bonuses.					PER#2	Barrera Espiritual	Tu fuerza de voluntad y resistencia mental son legendarias, y resistes mejor el aturdimiento, parálisis y otros efectos mentales. Gana un bono a tu resistencia de Espíritu, que se acumula con otros bonos.
					Gain +10 to Spirit Resistance	1						Gana +10 a la Resistencia de Espíritu
					Gain +20 to Spirit Resistance	1						Gana +20 a la Resistencia de Espíritu
					Gain +30 to Spirit Resistance	1						Gana +30 a la Resistencia de Espíritu
Shock Ward	P	N		N	You can endure elemental damage thanks to your training. Gain a permanent bonus to Shock resistance, which stacks with other bonuses.					END#2	Barrera: Descargas	Puedes resistir daño elemental gracias a tu entrenamiento. Gana una bonificación a tu resistencia a descargas, que se acumula con otros bonos.
					Gain +12 to resist shock	1						Gana +12 a resistir descargas
					Gain +24 to resist shock	1						Gana +24 a resistir descargas
					Gain +36 to resist shock	1						Gana +36 a resistir descargas
Fire Ward	P	N		N	You can endure elemental damage thanks to your training. Gain a permanent bonus to Fire resistance, which stacks with other bonuses.					END#2	Barrera: Fuego	Puedes resistir daño elemental gracias a tu entrenamiento. Gana una bonificación a tu resistencia a fuego, que se acumula con otros bonos.
					Gain +12 to resist fire	1						Gana +12 a resistir fuego
					Gain +24 to resist fire	1						Gana +24 a resistir fuego
