Skill name	Type (P/A)	NPC	class	melee	description	cost	cooldown	mana_cost	skill_req	trait_req	Skill name ES	description ES
Arcane Blade	P	N	M	N	As an Arcane Knight you can use any Hand weapon or Light weapon that deals additional fire, cold or shock damage.					STR#3	Arma Arcana	Como Caballero Arcano puedes usar armas de mano o ligeras, siempre que produzcan daño extra por fuego, frío o descarga.
					Weapon works normally	2						El arma funciona normalmente
					Weapon elemental damage improved x1.5	2						Multiplica el daño elemental del arma x1.5
					Weapon elemental damage improved x2	2						Multiplica el daño elemental del arma x2
					Weapon elemental damage improved x2.5	2						Multiplica el daño elemental del arma x2.5
Vampiric Blade	P	N	M	N	As an Arcane Knight you can use any melee weapon that deals death damage, even two-handed weapons.					STR#3	Arma Vampírica	Como Caballero Arcano puedes usar cualquier arma de cuerpo a cuerpo siempre que produzca daño extra de Muerte, incluso armas de dos manos.
					Weapon works normally. Each killed enemy will heal you for 5hp	2						El arma funciona normalmente. Cada enemigo muerto te cura 5hp
					Weapon death damage improved x1.5. Each killed enemy will heal you for 5hp and, if it's a spellcaster or outsider, +3 mana	3						Multiplica el daño de muerte del arma x1.5. Cada enemigo muerto te cura 5hp, si es un Extraño o lanza conjuros +3 mana
					Weapon death damage improved x2. Each killed enemy will heal you for 10hp and, if it's a spellcaster or outsider, +5 mana 	4						Multiplica el daño de muerte del arma x2. Cada enemigo muerto te cura 10hp, si es un Extraño o lanza conjuros +5 mana
Combustion	A	N	M	N	In a 3m area around you enemies are burned. They also suffer a reduction of their Armor and resistances to Fire, Cold and Shock for 15 seconds.				fireball#2		Combustión	En un area de 3m alrededor de ti surgen llamas que queman a los enemigos y reducen su armadura y resistencia a fuego, frío y descarga.
					Deals 15-30 Fire damage. Enemies lose -3 Armor, -20 to Resistances	2	15	25				Los enemigos sufren 15-30 daño por fuego, -3 Armadura, -20 a Resistencias
					Deals 20-40 Fire damage. Enemies lose -6 Armor, -40 to Resistances	2	15	35				Los enemigos sufren 20-40 daño por fuego, -6 Armadura, -40 a Resistencias
					Deals 28-56 Fire damage. Enemies lose -10 Armor, -60 to Resistances	3	15	45				Los enemigos sufren 28-56 daño por fuego, -10 Armadura, -60 a Resistencias
Death Cloud	A	N	M	N	Launch a poisonous cloud towards the enemy you face (or the nearest enemy if you face none). Besides dealing damage it will reduce resistance to Death and slow enemies for 12 seconds.				ice_storm#2		Nube de Muerte	Lanza una nube venenosa hacia el enemigo al que te enfrentas(o al enemigo más cercano si no te enfrentas a ninguno). Además de infligir daño, reducirá la resistencia a Muerte y ralentizará a los enemigos durante 15 segundos.
					Deals 10-20 toxic damage, enemy is slowed and suffers -30 Death resistance	2	12	20				10-20 daño tóxico, ralentizado y -30 Resistencia a Muerte
					Deals 14-28 toxic damage, enemy is slowed and suffers -50 Death resistance	2	12	25				14-28 daño tóxico, ralentizado y -50 Resistencia a Muerte
					Deals 18-36 toxic damage, enemy is slowed and suffers -80 Death resistance	2	12	30				18-36 daño tóxico, ralentizado y -80 Resistencia a Muerte
