spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	chancemin	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions
sky_knight_female									co	skyknight			1	18		
sky_knight_male									co	skyknight			1	18		
sky_knight_archer									un	skyknight			1	18		
sky_knight_male_2									co	skyknight			1	18		
sky_knight_female_2									co	skyknight			1	18		
sky_knight_female_3									co	skyknight			10			
sky_knight_male_3									co	skyknight			10			
sky_knight_priest									ra	skyknight			1	14		
sky_knight_priest									un	skyknight			14	18		
sky_knight_archer_2									un	skyknight			14	18		
sky_knight_female_4									co	skyknight			18			
sky_knight_male_4									co	skyknight			18			
sky_knight_female_5									co	skyknight			18			
sky_knight_male_5									co	skyknight			18			
sky_knight_priest									co	skyknight			18			
sky_knight_archer_2									co	skyknight			18			
