Skill name	Type (P/A)	NPC	class	melee	description	cost	cooldown	mana_cost	bonus	bonus_condition	Skill name ES	description ES
Lightning Bolt	A	Y	M	N	Lightning erupts from your hands in the direction of the enemy you face (or nearest enemy if you face none), going through it and hitting anyone in a straight line. It has a chance to stun.						Relámpago	Lanza un relámpago en dirección al enemigo al que apuntes (o al más cercano si no apuntas a ninguno), y lo atraviesa hiriendo a otros blancos en linea recta. Puede aturdir.
					Deals 10-15 damage. 20% stun chance.	1	5	5				Daño eléctrico de 10-15. 20% de aturdir.
					Deals 15-20 damage, +1/level. 25% stun chance.	2	5	9				Daño eléctrico de 15-20, +1 por nivel. 25% de aturdir.
					Deals 20-28 damage, +2/level. 30% stun chance.	2	5	18				Daño eléctrico de 20-28, +2 por nivel. 30% de aturdir.
					Deals 36-44 damage, +2/level. 40% stun chance.	2	5	24				Daño eléctrico de 36-44, +2 por nivel. 40% de aturdir.
Fireball	A	Y	M	N	Launch a fireball towards the enemy you face (or the nearest enemy if you face none) that will cause a fiery explosion. Beware, as the fire can't tell friend from foe.						Bola de fuego	Lanza un proyectil mágico que causará una explosión de llamas. Cuidado, las llamas no distinguen amigo de enemigo.
					Deals 9-18 fire damage.	1	5	4				Causa 9-18 daño por fuego.
					Deals 15-30 fire damage.	2	5	8				Causa 15-30 daño por fuego.
					Deals 28-56 fire damage.	2	5	16				Causa 28-56 daño por fuego.
					Deals 42-84 fire damage.	2	0	32				Causa 42-84 daño por fuego.
Ice Storm	A	Y	M	N	Project a storm of ice that will cause cold damage to all enemies inside. The storm will last for 5 seconds, and will move randomly.						Tormenta de Hielo	Una tormenta de hielo causará daño por frío a todos los que se encuentren dentro. La tormenta dura 5 segundos durante los cuales se mueve al azar.
					The storm deals 8-16 cold damage.	1	3	4				La tormenta causa 8-16 daño por frío.
					The storm deals 12-24 cold damage.	2	3	7				La tormenta causa 12-24 daño por frío.
					The storm deals 18-36 cold damage.	2	3	12				La tormenta causa 18-36 daño por frío.
					The storm deals 32-64 cold damage.	2	3	24				La tormenta causa 32-64 daño por frío.
Mage Armor	A	Y	M	N	Gain a high boost to defenses for a small mana cost. The spell will wear off after a certain number of hits, or after 3 minutes.						Armadura de Mago	Hechizo que mejora considerablemente tus defensas durante un minuto y con bajo coste de maná, pero desaparece tras recibir ciertos golpes o al pasar 3 minutos.
					Gain +6 armor, wears off after 3 hits.	1	5	3				Ganas +6 armadura, se desvanece tras 3 golpes.
					Gain +9 armor and +15 to fire, cold and shock resistance. Wears off after 4 hits.	2	5	5				Ganas +9 armadura y +15 a resistir fuego, hielo y descargas. Se desvanece tras 4 golpes.
					Gain +14 armor and +20 to fire, cold and shock resistance, wears off after 5 hits.	2	5	9				Ganas +14 armadura y +20 a resistir fuego, hielo y descargas. Se desvanece tras 5 golpes.
					Gain +21 armor and +30 to fire, cold and shock resistance, wears off after 6 hits.	2	5	16				Ganas +21 armadura y +30 a resistir fuego, hielo y descargas. Se desvanece tras 6 golpes.
Wand Mastery	P	Y	M	N	"Wands are the classical weapon of choice of Mages; any Mage ranged weapon wielded by one hand is considered a Wand."						Maestría de Varitas	"Las varitas son el arma clásica del mago; cualquier arma a distancia de Mago que se usa con una mano es considerada una Varita."
					Your wand attacks gain +1 damage and generate a pushback of 1m	1						Tus ataques con varita causan +1 daño y empujan a tu enemigo 1m.
					Your wand attacks gain +3 damage and generate a pushback of 1.4m	2						Tus ataques con varita causan +3 daño y empujan a tu enemigo 1.4m.
					Your wand attacks gain +5 damage and generate a pushback of 1.7m	2						Tus ataques con varita causan +5 daño y empujan a tu enemigo 1.7m.
					Your wand attacks gain +8 damage and generate a pushback of 2m	3						Tus ataques con varita causan +8 daño y empujan a tu enemigo 2m.
Staff Mastery	P	Y	M	N	Staves are powerful channelers of magical energy. Any two-handed Mage weapon  is considered a Staff.						Maestría de Bastones	Los bastones son poderosos canalizadores de magia. Cualquier arma de Mago que se sostiene con dos manos es considerada un bastón.
					Your attacks have a 25% chance of slowing enemies. Add half your INT to damage (rounding down)	1						Tus ataques tienen un 25% de ralentizar enemigos. Suma la mitad de INT al daño.
					Slow chance of 30%, and add your full INT to damage.	2						Prob. de ralentizar del 30%, y suma INT al daño.
					Slow chance of 35%, and add your INTx1.5 to damage.	2						Prob. de ralentizar del 35%, y suma INTx1.5 al daño.
					Slow chance of 40%, and add your INTx2 to damage.	3						Prob. de ralentizar del 40%, y suma INTx2 al daño.
Lesser Summoning	A	Y	M	N	Summon a Familiar from the Plane of Energy to fight for you. Familiars are not very strong, but they're very perceptive, adding a +20% bonus to your chance of detecting secrets.						Invocaciones Menores	Convoca un Familiar desde el Plano de la Energía para que luche por tí. Los Familiares no son muy fuertes, pero son muy perceptivos y te otorgan un +20% a Detectar Secretos.
					Summon a Level 2-3 Lesser Sparkling.	2	30	12				Invoca un Sparkling Menor de nivel 2-3.
					Summon a Level 4-6 Lesser Sparkling.	2	30	20				Invoca un Sparkling Menor de nivel 4-6.
Mana Surge	P	Y	M	N	Your focus and inner power grants you a larger mana pool.						Fuente de Maná	Tu concentración y fuerza interior te otorgan una reserva de maná mayor.
					Increase your mana pool by 3, and +1/level	1						Incrementa tu reserva de maná en 3, y +1/nivel
					Increase your mana pool by 6, and +2/level	2						Incrementa tu reserva de maná en 6, y +2/nivel
					Increase your mana pool by 9, and +3/level	3						Incrementa tu reserva de maná en 9, y +3/nivel
