Skill name	Type (P/A)	NPC	class	melee	description	cost	cooldown	mana_cost	skill_req	trait_req	Skill name ES	description ES
Arcane Blade	P	N	M	N	As an Arcane Knight you can use any Hand weapon or Light weapon that deals additional fire, cold or shock damage.					STR#3	Arma Arcana	Como Caballero Arcano puedes usar armas de mano o ligeras, siempre que produzcan daño extra por fuego, frío o descarga.
					Weapon works normally	2						El arma funciona normalmente
					Weapon elemental damage improved x1.5	2						Multiplica el daño elemental del arma x1.5
					Weapon elemental damage improved x2	2						Multiplica el daño elemental del arma x2
					Weapon elemental damage improved x2.5	2						Multiplica el daño elemental del arma x2.5
Vampiric Blade	P	N	M	N	As an Arcane Knight you can use any melee weapon that deals death damage, even two-handed weapons.					STR#3	Arma Vampírica	Como Caballero Arcano puedes usar cualquier arma de cuerpo a cuerpo siempre que produzca daño extra de Muerte, incluso armas de dos manos.
					Weapon works normally. Each killed enemy will heal you for 5hp	2						El arma funciona normalmente. Cada enemigo muerto te cura 5hp
					Weapon death damage improved x1.5. Each killed enemy will heal you for 5hp and, if it's a spellcaster or outsider, +3 mana	3						Multiplica el daño de muerte del arma x1.5. Cada enemigo muerto te cura 5hp, si es un Extraño o lanza conjuros +3 mana
					Weapon death damage improved x2. Each killed enemy will heal you for 10hp and, if it's a spellcaster or outsider, +5 mana 	4						Multiplica el daño de muerte del arma x2. Cada enemigo muerto te cura 10hp, si es un Extraño o lanza conjuros +5 mana
Combustion	A	N	M	N	In a 3m area around you enemies are burned. They also suffer a reduction of their Armor and resistances to Fire, Cold and Shock for 15 seconds.				fireball#2		Combustión	En un area de 3m alrededor de ti surgen llamas que queman a los enemigos y reducen su armadura y resistencia a fuego, frío y descarga.
					Deals 15-30 Fire damage. Enemies lose -3 Armor, -20 to Resistances	2	15	25				Los enemigos sufren 15-30 daño por fuego, -3 Armadura, -20 a Resistencias
					Deals 20-40 Fire damage. Enemies lose -6 Armor, -40 to Resistances	2	15	35				Los enemigos sufren 20-40 daño por fuego, -6 Armadura, -40 a Resistencias
					Deals 28-56 Fire damage. Enemies lose -10 Armor, -60 to Resistances	3	15	45				Los enemigos sufren 28-56 daño por fuego, -10 Armadura, -60 a Resistencias
Death Cloud	A	N	M	N	Launch a poisonous cloud towards the enemy you face (or the nearest enemy if you face none). Besides dealing damage it will reduce resistance to Death and slow enemies for 12 seconds.				ice_storm#2		Nube de Muerte	Lanza una nube venenosa hacia el enemigo al que te enfrentas(o al enemigo más cercano si no te enfrentas a ninguno). Además de infligir daño, reducirá la resistencia a Muerte y ralentizará a los enemigos durante 15 segundos.
					Deals 10-20 toxic damage, enemy is slowed and suffers -30 Death resistance	2	12	20				10-20 daño tóxico, ralentizado y -30 Resistencia a Muerte
					Deals 14-28 toxic damage, enemy is slowed and suffers -50 Death resistance	2	12	25				14-28 daño tóxico, ralentizado y -50 Resistencia a Muerte
					Deals 18-36 toxic damage, enemy is slowed and suffers -80 Death resistance	2	12	30				18-36 daño tóxico, ralentizado y -80 Resistencia a Muerte
Guardian Wolf	A	N	C	N	Summon a wild spirit which takes the form of a wolf and follows you. 					INT#3	Lobo Guardián	Convova a un espíritu silvestre que toma la forma de un lobo y te sigue.
					Summon a level 7 Dire Wolf for 3 minutes	2	120	15				Convoca a un Lobo Salvaje de nivel 7 durante 3 minutos
					Summon a level 10 White Wolf for 5 minutes	2	90	20				Convoca a un Lobo Blanco de nivel 10 durante 5 minutos
					Summon a level 13 Spirit Wolf for 5 minutes	2	60	35				Convoca a un Lobo Espiritual de nivel 13 durante 5 minutos
					Summon a level 15 Mighty Spirit Wolf for 5 minutes	3	50	45				Convoca a un Lobo Espiritual de nivel 13 durante 5 minutos
Summoner	P	N	M,C	N	You are capable of strengthening the link between summoned creatures and their home plane. The creature's level is increased, and can even go above yours.					PER#3	Invocador	Eres capaz de fortalecer el vínculo entre las criaturas que convocas y su plano de origen. El nivel se incrementa, incluso por encima del tuyo.
					The creatures you summon gain +1 level	1						Las criaturas que invocas ganan +1 nivel
					The creatures you summon gain +2 levels	1						Las criaturas que invocas ganan +2 niveles
					The creatures you summon gain +3 levels	2						Las criaturas que invocas ganan +3 niveles
					The creatures you summon gain +4 levels	2						Las criaturas que invocas ganan +4 niveles
Appearance Darkness	A	N	M,C	N	Summon a wild spirit which takes the form of a wolf and follows you. 						Lobo Guardián	Convova a un espíritu silvestre que toma la forma de un lobo y te sigue.
					Summon a level 7 Dire Wolf for 3 minutes	2	5	0				Convoca a un Lobo Salvaje de nivel 7 durante 3 minutos
					Summon a level 10 White Wolf for 5 minutes	2	5	0				Convoca a un Lobo Blanco de nivel 10 durante 5 minutos
					Summon a level 13 Spirit Wolf for 5 minutes	2	5	0				Convoca a un Lobo Espiritual de nivel 13 durante 5 minutos
Dark Call	A	N	M,C	N	Summon a wild spirit which takes the form of a wolf and follows you. 						Lobo Guardián	Convova a un espíritu silvestre que toma la forma de un lobo y te sigue.
					Summon a level 7 Dire Wolf for 3 minutes	2	7	0				Convoca a un Lobo Salvaje de nivel 7 durante 3 minutos
					Summon a level 10 White Wolf for 5 minutes	2	5	0				Convoca a un Lobo Blanco de nivel 10 durante 5 minutos
					Summon a level 13 Spirit Wolf for 5 minutes	2	5	0				Convoca a un Lobo Espiritual de nivel 13 durante 5 minutos
Shock Mastery	A	N	M	N	You are capable of summoning an elemental from the Plane of Ice for 3 minutes. They're very resilient creatures. You can only keep one summoned creature at the same time and its level can never go above yours.					PER#2	Maestría del Hielo	Puedes convocar un elemental del Plano del Hielo durante 3 minutos. Son criaturas muy resistentes. Sólo puedes mantener una criatura convocada a la vez y su nivel no puede superar el tuyo. 
					Summon a level 7 Shock Elemental	1	40	25				Convoca a un elemental de Hielo de nivel 6
					Summon a level 10 Shock Elemental	2	45	35				Convoca a un elemental de Hielo de nivel 11
					Summon a level 13 Shock Elemental	3	50	45				Convoca a un elemental de Hielo de nivel 15
Invocation Doom	A	N	M,C	N	Summon a wild spirit which takes the form of a wolf and follows you. 						Lobo Guardián	Convova a un espíritu silvestre que toma la forma de un lobo y te sigue.
					Summon a level 7 Dire Wolf for 3 minutes	2	27	0				Convoca a un Lobo Salvaje de nivel 7 durante 3 minutos
					Summon a level 10 White Wolf for 5 minutes	2	15	0				Convoca a un Lobo Blanco de nivel 10 durante 5 minutos
					Summon a level 13 Spirit Wolf for 5 minutes	2	90	0				Convoca a un Lobo Espiritual de nivel 13 durante 5 minutos
Fyre Mastery	A	N	M,C	N	You are capable of summoning an elemental from the Plane of Fire for 3 minutes. They are capable of dealing good damage, but rather fragile. You can only keep one summoned creature at the same time and its level can never go above yours.						Maestría del Fuego	Puedes convocar un elemental del Plano del Fuego durante 3 minutos. Son capaces de hacer mucho daño, pero bastante frágiles. Sólo puedes mantener una criatura convocada a la vez y su nivel no puede superar el tuyo. 
					Summon a level 7 Fire Elemental	2	20	0				Convoca a un elemental de Fuego de nivel 7
					Summon a level 10 Fire Elemental	2	20	0				Convoca a un elemental de Fuego de nivel 11
					Summon a level 13 Fire Elemental	2	20	0				Convoca a un elemental de Fuego de nivel 14
Icy Mastery	A	N	M,C	N	You are capable of summoning an elemental from the Plane of Ice for 3 minutes. They're very resilient creatures. You can only keep one summoned creature at the same time and its level can never go above yours.						Maestría del Hielo	Puedes convocar un elemental del Plano del Hielo durante 3 minutos. Son criaturas muy resistentes. Sólo puedes mantener una criatura convocada a la vez y su nivel no puede superar el tuyo. 
					Summon a level 7 Ice Elemental	1	25	0				Convoca a un elemental de Hielo de nivel 6
					Summon a level 10 Ice Elemental	2	25	0				Convoca a un elemental de Hielo de nivel 11
					Summon a level 13 Ice Elemental	3	25	0				Convoca a un elemental de Hielo de nivel 15
Dark Will	A	N	M,C	N	You are capable of summoning an elemental from the Plane of Ice for 3 minutes. They're very resilient creatures. You can only keep one summoned creature at the same time and its level can never go above yours.						Maestría del Hielo	Puedes convocar un elemental del Plano del Hielo durante 3 minutos. Son criaturas muy resistentes. Sólo puedes mantener una criatura convocada a la vez y su nivel no puede superar el tuyo. 
					Summon a level 7 Ice Elemental	1	5	0				Convoca a un elemental de Hielo de nivel 6
					Summon a level 10 Ice Elemental	2	8	0				Convoca a un elemental de Hielo de nivel 11
					Summon a level 13 Ice Elemental	3	11	0				Convoca a un elemental de Hielo de nivel 15
Response Evil	A	N	M,C	N	You are capable of summoning an elemental from the Plane of Ice for 3 minutes. They're very resilient creatures. You can only keep one summoned creature at the same time and its level can never go above yours.						Maestría del Hielo	Puedes convocar un elemental del Plano del Hielo durante 3 minutos. Son criaturas muy resistentes. Sólo puedes mantener una criatura convocada a la vez y su nivel no puede superar el tuyo. 
					Summon a level 7 Ice Elemental	1	12	0				Convoca a un elemental de Hielo de nivel 6
					Summon a level 10 Ice Elemental	2	8	0				Convoca a un elemental de Hielo de nivel 11
					Summon a level 13 Ice Elemental	3	15	0				Convoca a un elemental de Hielo de nivel 15
