spawn_ID	name	name_ES	russian	PT	DE	PL	CZ	TR	IT	FR
batrax	Batrax	Batrax	Батракс	Batrax	Batrax	Batrax	Batrax	Batrax	Batrax	Batrax
batrax_theurgist	Batrax Theurgist	Teurgista Batrax	Батракс-маг	Batrax Teurgista	Batrax-Magier	Batrax teurg	Batrax Theurgista	Batrax Müneccim	Teurgista Batrax	Batrax Theurgist
worm	Carrion Eater	Comecarroña	Падальщик	Carniceiro	Aasfresser	Trupojad	Červ	Leş Yiyici	Mangiacarogne	Carrion Eater
devourer	Devourer	Devorador	Пожиратель	Devorador	Verschlinger	Pożeracz	Požírač	Devourer	Divoratore	Devourer
spider_lesser	Inori Spider	Araña de Inori	Инорийский паук	Aranha de Inori	Inori-Spinne	Pająk Inori	Inorský pavouk	Inori Örümceği	Ragno di Inori	Inori Spider
bloodcrawler	Bloodcrawler	Devorador	Кровожвал	Devorador	Blutkriecher	Gryziel	Krvežíznivý pavouk	Leş Örümceği	Divoratore	Bloodcrawler
spider	Giant Spider	Araña Gigante	Паук-гигант	Aranha Gigante	Riesenspinne	Wielki pająk	Obrovský pavouk	Dev Örümcek	Ragno Gigante	Giant Spider
sand_spider	Sand Spider	Araña de Arena	Песчаный паук	Aranha de Areia	Sandspinne	Pustynny pająk	Písečný pavouk	Kum Örümceği	Ragno della Sabbia	Sand Spider
spider_monstruous	Monstruous Spider	Araña Monstruosa	Чудовищный Паук	Aranha Monstruosa	Monströse Spinne	Olbrzymi pająk	Monstrózní pavouk	Devasa Örümcek	Ragno Mostruoso	Monstruous Spider
grey_wolf	Grey Wolf	Lobo Gris	Серый Волк	Lobo Cinzento	Grauer Wolf	Szary wilk	Šedý vlk	Gri Kurt	Lupo Grigio	Grey Wolf
tamed_wolf	Wolf	Lobo	Волк	Lobo	Wolf	Oswojony wilk	Ochočený vlk	Kurt	Lupo ammansito	Loup
wolf	Wolf	Lobo	Волк	Lobo	Wolf	Wilk	Vlk	Kurt	Lupo	Loup
dire_wolf	Dire Wolf	Lobo Salvaje	Лютый Волк	Lobo Feroz	Wilder Wolf	Wilkor	Hrozivý vlk	Ulu Kurt	Lupo Selvaggio	Dire Wolf
coyote	Coyote	Coyote	Койот	Coiote	Kojote	Kojot	Kojot	Çakal	Coyote	Coyote
rat	Rat	Rata	Крыса	Rato	Ratte	Szczur	Krysa	Sıçan	Ratto	Rat
bear	Bear	Oso	Медведь	Urso	Bär	Niedźwiedź	Medvěd	Ayı	Orso	Ours
sabercat	Sabercat	Tigre	Саблезуб	Tigre	Tiger	Tygrys	Šavlozubý tigr	Kaplan	Tigre	Sabercat
sabercat_alpha	Sabercat Alpha	Tigre Alpha	Саблезуб Альфа	Tigre Alfa	Alpha-Tiger	Tygrys alfa	Šavlozubý tigr alfa	Alfa Kaplan	Tigre Denti a sciabola	Sabercat Alpha
sabercat_corrupted	Corrupted Sabercat	Tigre Corrupto	Проклятый Саблезуб	Tigre Corrompido	Besessener Tiger	Skażony tygrys	Očarovaný šavlozubý tigr	Yozlaşmış Kaplan	Tigre Corrotta	Corrupted Sabercat
polar_bear	Winter Bear	Oso	Белый Медведь	Urso Polar	Eisbär	Niedźwiedź	Polární medvěd	Kış Ayısı	Orso Bianco	Winter Bear
vorator	Vorator	Vorator	Воратор	Vorator	Vorator	Vorator	Vorator	Vorator	Vorator	Vorator
vorator_matriarch	Matriarch Voratrix	Matriarca Vorator	Воратор-матриарх	Vorator Matriarca	Vorator Matriarchin	Matka rodu	Matriarcha Voratorů	Kraliçe Vorator	Matriarca Vorator	Matriarch Voratrix
vorator_grozza	Grozza the Insatiable	Grozza la Insaciable	Грозза Ненасытный	Grozza o Insaciável	Grozza der Unersättliche	Grozza Nienasycona	Nenasytná Grozza	Aç Gözlü Grozza	Grozza la Insaziabile	Grozza the Insatiable
polar_elder	Primeval Bear	Oso Anciano	Медведь-патриарх	Urso Ancião	Urzeitlicher Bär	Prastary niedźwiedź	Prastarý medvěd	İlkel Ayı	Orso Primitivo	Primeval Bear
giant_rat	Giant Rat	Rata Gigante	Гигантская крыса	Rato Gigante	Riesenratte	Wielki szczur	Obrovská krysa	Dev Sıçan	Ratto Gigante	Giant Rat
swamp_rat	Swamp Scavenger	Carroñero	Болотный Падальщик	Coletor do Pântano	Sumpfratte	Bagienny ścierwojad	Bažinná krysa	Bataklık Leşçisi	Saprofago Palustre	Swamp Scavenger
enraged_rat	Enraged Giant Rat	Rata gigante furiosa	Разъярённая Крыса-гигант	Rato Gigante Furioso	Wütende Riesenratte	Rozjuszony wielki szczur	Rozzuřená obrovská krysa	Kuduz Dev Sıçan	Ratto gigante furioso	Enraged Giant Rat
white_wolf	White Wolf	Lobo Blanco	Белый Волк	Lobo Branco	Weißer Wolf	Biały wilk	Bílý vlk	Ak Kurt	Lupo Bianco	White Wolf
hellhound	Hell Hound	Sabueso Infernal	Адская Псина	Cão Infernal	Höllenhund	Ogar piekieł	Pekelný pes	Cehennem Tazısı	Segugio Infernale	Hell Hound
goblin	Goblin	Goblin	Гоблин	Goblin	Goblin	Goblin	Skřet	Goblin	Goblin	Gobelin
goblin_spearman	Goblin Warrior	Guerrero Goblin	Гоблин-воин	Goblin Guerreiro	Goblin-Krieger	Goblin wojownik	Skřetí válečník	Goblin Savaşçı	Goblin Guerriero	Goblin Warrior
goblin_archer	Goblin Spearman	Goblin Arquero	Гоблин-копейщик	Goblin Lanceiro	Goblin-Speerwerfer	Goblin oszczepnik	Skřetí kopiník	Goblin Mızrakçı	Goblin Arciere	Goblin Spearman
goblin_guardian	Goblin Guardian	Guardián Goblin	Гоблин-страж	Goblin Guardião	Goblin-Wächter	Goblin strażnik	Skřetí střážce	Goblin Muhafız	Goblin Guardiano	Goblin Guardian
goblin_sergeant	Goblin Sergeant	Sargento Goblin	Сержант Гоблинов	Goblin Sargento	Goblin-Sergeant	Goblin sierżant	Skřetí důstojník	Goblin Çavuşu	Sergente Goblin	Goblin Sergeant
goblin_beastlord	Goblin Beastlord	Maestro de Bestias Goblin	Гоблин-дрессировщик	Goblin Mestre das Bestas	Goblin-Biestmeister	Goblin władca bestii	Skřetí Šelm-mistr	Goblin Canavar Terbiyecisi	Signore delle Bestie Goblin	Goblin Beastlord
goblin_firedancer	Goblin Firedancer	Danzafuegos Goblin	Гоблин-огнепоклонник	Goblin Dançarino de Fogo	Goblin-Feuertänzer	Goblin tancerz ognia	Skřetí pyromancer	Goblin Ateş Cambazı	Danzafuoco Goblin	Goblin Firedancer
goblin_firelord	Goblin Firelord	Maestro del Fuego	Гоблин Повелитель Огня	Goblin Mestre do Fogo	Goblin-Feuermeister	Goblin władca ognia	Vyšší skřetí pyromancer	Goblin Ateş Lordu	Signore del Fuoco Goblin	Goblin Firelord
goblin_firedancer_izharrak	Firedancer Izharrak	Danzafuegos Izharrak	Ижаррак Огнепляс	Dançarino das Chamas Izharrak	Flammentänzer Itharrak	Izharrak tancerz ognia	Pyromancer Izharrak	Ateş Cambazı Izharrak	Danzafuoco Izharrak	Firedancer Izharrak
goblin_king	Goblin King	Rey Goblin	Король Гоблинов	Rei Goblin	Goblin-König	Król goblinów	Skřetí král	Goblin Kralı	Re Goblin	Goblin King
hobgoblin_warrior	Hobgoblin	Hobgoblin	Хобгоблин	Hobgoblin	Hobgoblin	Hobgoblin	Hobskřet	Hobgoblin	Hobgoblin	Hobgoblin
ice_shaman	Ice Shaman	Shaman de Hielo	Шаман Льда	Xamã de Gelo	Eisschamane	Szaman lodu	Ledový šaman	Buz Şamanı	Sciamano dei Ghiacci	Ice Shaman
hobgoblin_warlord	Ice Warlord	Jefe Hobgoblin	Воитель Льда	Chefe Hobgoblin	Eiskriegsherr	Władca lodu	Ledový válečník	Buz Kumandanı	Capo Hobgoblin	Ice Warlord
orc	Orc Grunt	Soldado Orco	Мерзкий Орк	Soldado Orc	Ork-Knecht	Ork trep	Orcký bojovník	Ork Azap	Orco Soldato	Guerrier Orc
orc_warrior	Orc Warrior	Guerrero Orco	Орк-боец	Guerreiro Orc	Ork-Krieger	Ork wojownik	Orcký válečník	Ork Savaşçı	Orco Guerriero	Orc Warrior
orc_archer	Orc Archer	Arquero Orco	Орк-лучник	Arqueiro Orc	Ork-Bogenschütze	Ork łucznik	Orcký lučistník	Ork Okçusu	Orco Arciere	Orc Archer
orc_elite	Orc Elite	Orco Élite	Элитный Орк	Orc de Elite	Ork-Elitesoldat	Elitarny ork	Orcký elitní bojovník	Seçkin Ork	Orco Elite	Orc Elite
orc_trooper	Orc Trooper	Orco de Asalto	Орк-солдат	Orc de Assalto	Ork-Soldat	Ork żołnierz	Orcký útočník	Ork Piyade	Orco d'Assalto	Orc Trooper
orc_shooter	Orc Shooter	Tirador Orco	Орк-стрелок	Orc Atirador	Ork-Schütze	Ork strzelec	Orcký střelec	Ork Nişancı	Orco Tiratore	Orc Shooter
orc_cook	Orc Cook	Cocinero Orco	Орк-повар	Orc Cozinheiro	Ork-Koch	Ork kucharz	Orcký kuchař	Ork Aşçı	Orco Cuoco	Cuisinier Orc
orc_king	Orc King	Rey Orco	Король Орков	Rei Orc	Ork-König	Król orków	Orcký král	Ork Kralı	Re Orco	Orc King
troll	Troll	Troll	Тролль	Troll	Troll	Troll	Trol	Trol	Troll	Troll
elder_troll	Elder Troll	Troll Anciano	Старый Тролль	Troll Ancião	Alter Troll	Starszy troll	Starší trol	Yaşlı Trol	Troll Anziano	Elder Troll
troll_shaman	Troll Shaman	Troll Chamán	Тролль-шаман	Troll Xamã	Troll-Schamane	Troll szaman	Trol šaman	Trol Şaman	Troll Sciamano	Troll Shaman
enraged_troll	Enraged Troll	Troll Enfurecido	Буйный Тролль	Troll Enfurecido	Wütender Troll	Rozjuszony troll	Rozzuřený trol	Azgın Trol	Troll Furioso	Enraged Troll
troll_king	Troll King	Rey Troll	Король Троллей	Rei Troll	Troll-König	Król trolli	Král trolů	Trol Kralı	Re Troll	Troll King
king_gurguth	King Gurguth	Rey Gurguth	Король Гургутх	Rei Gurguth	König Gurguth	Król Gurguth	Kral Gurguth	Kral Gurguth	Re Gurguth	King Gurguth
minotaur	Minotaur	Minotauro	Минотавр	Minotauro	Minotaurus	Minotaur	Minotaur	Minotor	Minotauro	Minotaur
minotaur_lord	Minotaur Lord	Minotauro noble	Минотавр-Лорд	Minotauro Lorde	Minotaurus-Meister	Minotaur królewski	Minotaurský pán	Minotor Lordu	Minotauro Nobile	Minotaur Lord
minotaur_oracle	Minotaur Oracle	Oráculo Minotauro	Минотавр-Оракул	Minotauro Oráculo	Minotaurus-Orakel	Minotaur prorok	Minotaurský věštec	Minotor Kahin	Minotauro Oracolo	Minotaur Oracle
