spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	rarity	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions
goblin									co	enemy				1		
goblin_archer									ra	enemy				1		
goblin									co	enemy			2	3		
goblin_archer									un	enemy			2	3		
goblin_spearman									un	enemy			2	3		
goblin_spearman									ra	enemy			2	3		
goblin									co	enemy			4	6		
goblin_archer									co	enemy			4	6		
goblin_spearman									co	enemy			4	6		
goblin_spearman									co	enemy			7			
goblin_archer									co	enemy			7			
goblin_sergeant									un	enemy			7			
goblin_firedancer									ra	enemy			7			
