progress	description	description_ES	actions
0	Sewer of Horrors	Alcantarilla de los Horrores	
10	Sir Whitestorm has told me the story of the Icemist sewers, and the terrible fate of his son.	Sir Whitestorm me ha contado la historia de las alcantarillas de Icemist y el terrible destino de su hijo.	
20	Sir Whitestorm has told me the story of the Icemist sewers, and the terrible fate of his son. I told him I want to go down to the Underlevels and he opened the grate for me, warning me there's no way back.	Sir Whitestorm me ha contado la historia de las alcantarillas de Icemist y el terrible destino de su hijo. Le he dicho que pienso descender a los Niveles Inferiores y ha abierto la reja para mí, advirtiéndome de que no podré regresar.	
30	I descended below Icemist Sewers and reached what must be the city Underlevels. I should try to find Breno, if he's still alive.	He descendido por debajo de las alcantarillas de Icemist y he llegado a los Niveles Inferiores. Ahora debería encontrar a Breno, si es que sigue vivo.	
40	I founf Breno. Unfortunately he agrees with Folcarad: there is no way out of the Underlevel. I decided not to join forces with him just yet.	He encontrado a Breno. Por desgracia está de acuerdo con su padre en que no hay escapatoria de este lugar. He decidido no unirme a él de momento.	
50	I met Breno, and we joined forces. He told me the most dangerous faction here is the Temple of the Flame, but to reach it I need three magical rubies. 	He encontrado a Breno y hemos unido nuestras fuerzas. Por desgracia está de acuerdo con su padre en que no hay escapatoria de este lugar. Me ha hablado de la facción más peligrosa del lugar, el Templo de la Llama. Para llegar allí necesito tres rubíes mágicos.	
60	I activated the bridge that can take me to the Temple of the Flame.	He activado el puente que puede llevarme al Templo de la Llama.	
70	I defeated the Saradan, the Lord of the Temple of the Flame. Unfortunately, I am still unable to escape the Underlevels.	He derrotado a Saradan, Señor del Templo de la Llama. Por desgracia sigo sin poder escapar de los Niveles Inferiores.	
80	I entered the elemental Plane of Fire! I don't think I can survive for a long time here.	He entrado en el Plano Elemental del Fuego! No creo que pueda sobrevivir mucho tiempo aquí.	
90	I returned to the Material Plane!	¡He vuelto al Plano Material!	
100	I saved Breno and went through the Sewer of Horrors.	He salvado a Breno y superé la Alcantarilla de los Horrores.	
