progress	description	description_ES	actions
0	Monster order.			
10	I've taken an order for a monster in the sewers. It's time to go down there and look for signs of it.			
11	Found the body of the first victim in the sewers. Judging by the damage, this monster's pretty strong. I'll keep following the blood trail.			
12	The chain of bloody footprints suddenly broke. I think the monster just jumped into the water. We should take a look around.			
13				
14				
15				
16				
17				
18				
100				
101				
110				
