spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	chancemin	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions	secondarySpawns
villager_female_blue									1	#civilian#							
villager_male_red									36	#civilian#							
adventurer_1					adventurer				67	town_lannegar		1					
adventurer_2					adventurer				76	town_lannegar		1					
adventurer_3					mercenary				95	town_lannegar		1					
adventurer_4					mercenary				98	town_lannegar		1					
adventurer_5					adventurer				67	town_lannegar		1	8				
adventurer_6					adventurer				67	town_lannegar		1	8				
adventurer_7					adventurer				48	town_lannegar		1	12				
adventurer_7					mercenary				68	town_lannegar		1	12				
adventurer_8					mercenary				57	town_lannegar		1	12				
