spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	chancemin	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions	secondarySpawns
villager_female_white									co	#civilian#							
villager_male_red									co	#civilian#							
villager_male_blue									co	#civilian#							
adventurer_1					adventurer				un	varsilia							
adventurer_2					adventurer				un	varsilia							
adventurer_5					adventurer				un	varsilia			8				
adventurer_6					adventurer				un	varsilia			8				
adventurer_3					mercenary				un	varsilia							
adventurer_4					mercenary				un	varsilia							
adventurer_7					adventurer				un	varsilia			12				
adventurer_7					mercenary				un	varsilia			12				
adventurer_8					mercenary				un	varsilia			12				
