spawn_id	name	name_ES	wander	portrait	conversation	shop	shop_modifier	tag	chancemin	faction	conditions	unique	minLevel	maxLevel	aConvRange	aConvConditions	secondarySpawns
villager_female_blue									31	#civilian#							
villager_female_red									66	#civilian#							
villager_female_purple									45	#civilian#							
villager_female_white									52	#civilian#							
villager_male_green									36	#civilian#							
villager_male_red									63	#civilian#							
villager_male_blue									42	#civilian#							
villager_male_black									48	#civilian#							
villager_boy									58	#civilian#							
villager_girl									55	#civilian#							
villager_drunkard									37	#civilian#							
villager_healer									54	#civilian#							
villager_lady									28	#civilian#							
villager_mother									65	#civilian#							
villager_peasant									30	#civilian#							
villager_priest									39	#civilian#							
villager_drunkard2									38	#civilian#							
villager_male_1									62	#civilian#							
villager_male_2									46	#civilian#							
villager_male_3									32	#civilian#							
villager_male_4									34	#civilian#							
villager_male_5									61	#civilian#							
villager_male_6									33	#civilian#							
villager_male_7									36	#civilian#							
villager_male_8									62	#civilian#							
villager_male_9									68	#civilian#							
villager_male_10									35	#civilian#							
villager_female_1									60	#civilian#							
villager_female_2									51	#civilian#							
villager_female_3									55	#civilian#							
villager_female_4									43	#civilian#							
villager_female_1									53	#civilian#							
villager_female_2									30	#civilian#							
villager_female_3									56	#civilian#							
villager_female_4									44	#civilian#							
villager_female_5									59	#civilian#							
villager_female_6									43	#civilian#							
villager_female_7									35	#civilian#							
villager_female_8									33	#civilian#							
villager_female_9									37	#civilian#							
villager_maleold1									50	#civilian#							
villager_maleold2									38	#civilian#							
villager_femaleold1									57	#civilian#							
villager_femaleold2									49	#civilian#							
villager_noblemanblack1									40	#civilian#							
villager_noblemanblack2									6	#civilian#							
villager_noblemanblue1									1	#civilian#							
villager_noblemanblue2									3	#civilian#							
villager_noblemanblue3									5	#civilian#							
villager_noblemangreen1									7	#civilian#							
villager_noblemangreen2									9	#civilian#							
villager_noblemanred1									11	#civilian#							
villager_noblemanred2									13	#civilian#							
villager_noblewoman1									15	#civilian#							
villager_noblewoman2									17	#civilian#							
villager_noblewoman3									19	#civilian#							
villager_noblewoman4									21	#civilian#							
villager_noblewoman5									23	#civilian#							
villager_noblewoman6									25	#civilian#							
villager_noblewoman7									27	#civilian#							
villager_noblewoman8									29	#civilian#							
