id	location	location_ES
I8_1	in a camp to the northwest of the area	en un campamento al nordeste.
I8_2	in a camp in the coast, to the southwest	en un campamento en la costa, al suroeste.
I11_1	south of the river and to the west	al sur del rio, y hacia el oeste
I11_2	north of the river, to the northwest	al norte del rio, al noroeste.
H11_1	north of the river and to the west	al norte del rio, y hacia el oeste
H11_2	in the foothills north of the river, to the east	en las colinas al norte del rio, y hacia el este
H10_1	very close to Lannegar village, to the west	muy cerca del pueblo de Lannegar, al oeste
H10_2	in the middle of Lannegar valley	muy cerca del camino, en mitad del valle
G10_1	near the swamp	cerca de la charca
G10_2	in the south foothills	en las colinas de la parte sur
H9_1	very close to the southern river bank	muy cerca del banco sur del rio
H9_2	near to the hills to the northeast	cerca de las colinas al nordeste
G9_1	in the northeast edge of Kingsbridge area	en el borde noreste del area
G9_2	very close to the town, to the north	muy cerca de la ciudad hacia el norte
G9_3	in the south bank of the river Bluemist	en la orilla sur del rio Bluemist
H8_1	near the river's edge north of the city	en la orilla del rio, al norte de la ciudad
H8_2	near the sea	a la orilla del mar
H10_mine_1	in a deep chamber to the northeast	en una cámara al nordeste
H10_mine_2	in a deep chamber to the northwest	en una cámara al noroeste
H11_cave_1_1	in a chamber to the southwest	en una cámara al suroeste
H11_cave_1_2	in a chamber to the northwest	en una cámara al noroeste
H11_cave_1_3	in a chamber near the middle of the dungeon	en una cámara en el centro del área
F9_1	to the northwest of the area	al noroeste de la zona
F9_2	deep into the forest and to the west	en lo profundo del bosque, al oeste
G11_1	to the southwest of the area	al suroeste de la zona
G11_2	near the middle of the area, south of the river	hacia el centro de la zona, al sur del rio
G9_cave_1	in the deep rooms to the northwest	en las habitaciones del noroeste
G9_cave_2	in a storage room to the northeast	en las habitaciones del nordeste
H9_lair_1	in a deep chamber on the northeast	en una cámara del extremo noreste de la guarida
H9_lair_2	in a throne room in the middle of the lair	en la sala del trono en medio de la guarida
H9_lair_3	in a chamber on the southwest	en una cámara del extremo suroeste de la guarida
I10_1	near the road, in the middle of the area	cerca de la mitad de la zona
I10_2	near the road, to the northwest	al noroeste
F10_1	to the east of town, by the river	desde la ciudad, siguiendo el rio hacia el este
F10_2	south of town, reaching the hills	al sur de la ciudad, llegando a las colinas
H10_tomb_1	in a chamber to the southwest	en una cámara al suroeste
H10_tomb_2	in a chamber to the southeast	en una cámara al sudeste
H10_tomb_3	in a chamber to the northeast	en una cámara al nordeste
H8_tomb_1	in a chamber to the southeast	en una cámara al sureste
H8_tomb_2	in a chamber to the northeast	en una cámara al nordeste
H8_tomb_3	in a chamber to the northwest	en una cámara al noroeste
G10_tomb_1	in a chamber to the northeast	en una cámara al nordeste
G10_tomb_2	in a chamber to the southeast	en una cámara al sureste
G10_tomb_3	in a chamber to the northwest	en una cámara al noroeste
F8_1	to the southeast	al sureste
F8_2	south of the town	al sur del poblado
E8_1	in a camp southeast	en un campamento al sureste
E8_2	in a camp to the south, near the mountains	entre las montañas
E8_3	 in a camp northwest	en un campamento al noroeste
E9_1	in a camp northwest	en un campamento al noroeste
E9_2	in a camp southeast	en un campamento al sureste
E9_3	in a camp northeast	en un campamento al nordeste
D10_1	to the southwest	al suroeste
D10_2	to the east, by the mountains	al este, junto a las montañas
D9_1	to the southwest	al suroeste
D9_2	to the northwest	al noroeste
D8_1	to the south, by the mountains	al sur, entre las montañas
D8_2	in a camp to the northeast	en un campamento al nordeste
D8_3	in a camp to the northwest	en un campamento al noroeste
D8_castle_1	at a chamber close to the entrance	en una sala cerca de la entrada
D8_castle_2	at a chamber to the southwest	en una sala al suroeste
F11_1	to the southwest	al suroeste
F11_2	in the south shore, to the east	en la orilla sur, al este
F11_3	to the northwest	al noroeste
E11_1	to the southeast	al sudeste
E11_2	to the northwest	al noroeste
E11_3	to the southwest	al suroeste
D11_1	 to the southeast	al sudeste
D11_2	to the northwest	al noroeste
D11_3	to the southwest	al suroeste
D12_1	to the southeast	al sudeste
D12_2	to the northwest	al noroeste
D12_3	to the southwest	al suroeste
E12_1	to the north	al norte
E12_2	to the southeast	al sudeste
F11_tomb_1	in a chamber to the northwest	al noroeste.
F11_tomb_2	in a chamber to the northeast	al nordeste.
D11_abbey_1	in the mess hall to the northwest	en un gran salón al noroeste
D11_abbey_2	in a small cell to the northeast	en una pequeña celda al nordeste
D11_abbey_3	in a room near the entrance, to the west	en una sala cerca de la entrada, al oeste
